dataset,level,instance,scenario_seed,algorithm_seed,event_type,event_size,strategy,seed_index,checkpoint_fe,actual_fe,warm_start_fe,local_search_fe,response_time,fitness,distance,total_late,is_feasible,reference_cost,gap_to_reference,overtake_repair,first_feasible_fe
addition_instances,M1,9,6109,6809003,add,1,WarmPSO,3,1500,1487,77,0,0.2959683,5487.58890923095,5487.58890923095,0,1,3489.87731324602,0.572430322522372,1,78
addition_instances,M1,9,6109,6809003,add,1,WarmPSO,3,2500,2477,77,0,0.2959683,5478.33657770836,5478.33657770836,0,1,3489.87731324602,0.569779131465463,1,78
addition_instances,M1,9,6109,6809003,add,1,WarmPSO_Relocate,3,500,492,77,175,0.3432202,4650.27518344678,4650.27518344678,0,1,3489.87731324602,0.332503915193926,1,78
addition_instances,M1,9,6109,6809003,add,1,WarmPSO_Relocate,3,1000,987,77,400,0.3432202,3815.1442261559,3815.1442261559,0,1,3489.87731324602,0.0932029649510341,1,78
addition_instances,M1,9,6109,6809003,add,1,WarmPSO_Relocate,3,1500,1482,77,625,0.3432202,3610.77208686074,3610.77208686074,0,1,3489.87731324602,0.0346415540614741,1,78
addition_instances,M1,9,6109,6809003,add,1,WarmPSO_Relocate,3,2500,2472,77,1075,0.3432202,3540.04457015807,3540.04457015807,0,1,3489.87731324602,0.0143750775196709,1,78
addition_instances,M1,9,6109,6809004,add,1,Repair,4,500,19,0,0,0.0029587,6582.56131296826,6582.56131296826,0,1,3489.87731324602,0.886187026685377,0,NaN
addition_instances,M1,9,6109,6809004,add,1,Repair,4,1000,19,0,0,0.0029587,6582.56131296826,6582.56131296826,0,1,3489.87731324602,0.886187026685377,0,NaN
addition_instances,M1,9,6109,6809004,add,1,Repair,4,1500,19,0,0,0.0029587,6582.56131296826,6582.56131296826,0,1,3489.87731324602,0.886187026685377,0,NaN
addition_instances,M1,9,6109,6809004,add,1,Repair,4,2500,19,0,0,0.0029587,6582.56131296826,6582.56131296826,0,1,3489.87731324602,0.886187026685377,0,NaN
addition_instances,M1,9,6109,6809004,add,1,WarmPSO,4,500,498,78,0,0.3413209,5101.59254895068,5101.59254895068,0,1,3489.87731324602,0.461825758053817,1,79
addition_instances,M1,9,6109,6809004,add,1,WarmPSO,4,1000,978,78,0,0.3413209,4373.94643707536,4373.94643707536,0,1,3489.87731324602,0.253323840489696,1,79
addition_instances,M1,9,6109,6809004,add,1,WarmPSO,4,1500,1488,78,0,0.3413209,4373.94643707536,4373.94643707536,0,1,3489.87731324602,0.253323840489696,1,79
addition_instances,M1,9,6109,6809004,add,1,WarmPSO,4,2500,2478,78,0,0.3413209,4373.94643707536,4373.94643707536,0,1,3489.87731324602,0.253323840489696,1,79
addition_instances,M1,9,6109,6809004,add,1,WarmPSO_Relocate,4,500,493,78,175,0.3389625,4889.45593398944,4889.45593398944,0,1,3489.87731324602,0.401039490824289,1,79
addition_instances,M1,9,6109,6809004,add,1,WarmPSO_Relocate,4,1000,988,78,400,0.3389625,4256.674221539,4256.674221539,0,1,3489.87731324602,0.219720305175933,1,79
addition_instances,M1,9,6109,6809004,add,1,WarmPSO_Relocate,4,1500,1483,78,625,0.3389625,3982.44545304586,3982.44545304586,0,1,3489.87731324602,0.141141964484044,1,79
addition_instances,M1,9,6109,6809004,add,1,WarmPSO_Relocate,4,2500,2473,78,1075,0.3389625,3815.57620552001,3815.57620552001,0,1,3489.87731324602,0.0933267456244897,1,79
addition_instances,M1,9,6109,6809005,add,1,Repair,5,500,19,0,0,0.0055416,6582.56131296826,6582.56131296826,0,1,3489.87731324602,0.886187026685377,0,NaN
addition_instances,M1,9,6109,6809005,add,1,Repair,5,1000,19,0,0,0.0055416,6582.56131296826,6582.56131296826,0,1,3489.87731324602,0.886187026685377,0,NaN
addition_instances,M1,9,6109,6809005,add,1,Repair,5,1500,19,0,0,0.0055416,6582.56131296826,6582.56131296826,0,1,3489.87731324602,0.886187026685377,0,NaN
addition_instances,M1,9,6109,6809005,add,1,Repair,5,2500,19,0,0,0.0055416,6582.56131296826,6582.56131296826,0,1,3489.87731324602,0.886187026685377,0,NaN
addition_instances,M1,9,6109,6809005,add,1,WarmPSO,5,500,493,73,0,0.3269711,6052.68094227857,6052.68094227857,0,1,3489.87731324602,0.734353502716353,1,74
addition_instances,M1,9,6109,6809005,add,1,WarmPSO,5,1000,973,73,0,0.3269711,5918.38825538393,5918.38825538393,0,1,3489.87731324602,0.695872870063472,1,74
addition_instances,M1,9,6109,6809005,add,1,WarmPSO,5,1500,1483,73,0,0.3269711,5918.38825538393,5918.38825538393,0,1,3489.87731324602,0.695872870063472,1,74
addition_instances,M1,9,6109,6809005,add,1,WarmPSO,5,2500,2473,73,0,0.3269711,5918.38825538393,5918.38825538393,0,1,3489.87731324602,0.695872870063472,1,74
addition_instances,M1,9,6109,6809005,add,1,WarmPSO_Relocate,5,500,488,73,175,0.3753997,5050.48050506845,5050.48050506845,0,1,3489.87731324602,0.447179958418332,1,74
addition_instances,M1,9,6109,6809005,add,1,WarmPSO_Relocate,5,1000,983,73,400,0.3753997,3643.07812184648,3643.07812184648,0,1,3489.87731324602,0.0438986230315271,1,74
addition_instances,M1,9,6109,6809005,add,1,WarmPSO_Relocate,5,1500,1478,73,625,0.3753997,3489.75337928123,3489.75337928123,0,1,3489.87731324602,-3.55124130936371e-05,1,74
addition_instances,M1,9,6109,6809005,add,1,WarmPSO_Relocate,5,2500,2468,73,1075,0.3753997,3489.75337928123,3489.75337928123,0,1,3489.87731324602,-3.55124130936371e-05,1,74
addition_instances,M1,9,6109,6809006,add,1,Repair,6,500,19,0,0,0.0018271,6582.56131296826,6582.56131296826,0,1,3489.87731324602,0.886187026685377,0,NaN
addition_instances,M1,9,6109,6809006,add,1,Repair,6,1000,19,0,0,0.0018271,6582.56131296826,6582.56131296826,0,1,3489.87731324602,0.886187026685377,0,NaN
addition_instances,M1,9,6109,6809006,add,1,Repair,6,1500,19,0,0,0.0018271,6582.56131296826,6582.56131296826,0,1,3489.87731324602,0.886187026685377,0,NaN
addition_instances,M1,9,6109,6809006,add,1,Repair,6,2500,19,0,0,0.0018271,6582.56131296826,6582.56131296826,0,1,3489.87731324602,0.886187026685377,0,NaN
addition_instances,M1,9,6109,6809006,add,1,WarmPSO,6,500,498,78,0,0.3034973,5669.2555277597,5669.2555277597,0,1,3489.87731324602,0.624485624821747,1,79
addition_instances,M1,9,6109,6809006,add,1,WarmPSO,6,1000,978,78,0,0.3034973,5669.2555277597,5669.2555277597,0,1,3489.87731324602,0.624485624821747,1,79
addition_instances,M1,9,6109,6809006,add,1,WarmPSO,6,1500,1488,78,0,0.3034973,5541.22756107532,5541.22756107532,0,1,3489.87731324602,0.587800104044716,1,79
addition_instances,M1,9,6109,6809006,add,1,WarmPSO,6,2500,2478,78,0,0.3034973,5405.94892062532,5405.94892062532,0,1,3489.87731324602,0.549036953278198,1,79
addition_instances,M1,9,6109,6809006,add,1,WarmPSO_Relocate,6,500,493,78,175,0.3214665,4269.39276065358,4269.39276065358,0,1,3489.87731324602,0.223364713839328,1,79
addition_instances,M1,9,6109,6809006,add,1,WarmPSO_Relocate,6,1000,988,78,400,0.3214665,3615.16417447373,3615.16417447373,0,1,3489.87731324602,0.0359000761293745,1,79
addition_instances,M1,9,6109,6809006,add,1,WarmPSO_Relocate,6,1500,1483,78,625,0.3214665,3615.16417447373,3615.16417447373,0,1,3489.87731324602,0.0359000761293745,1,79
addition_instances,M1,9,6109,6809006,add,1,WarmPSO_Relocate,6,2500,2473,78,1075,0.3214665,3615.16417447373,3615.16417447373,0,1,3489.87731324602,0.0359000761293745,1,79
addition_instances,M1,9,6109,6809007,add,1,Repair,7,500,19,0,0,0.0015857,6582.56131296826,6582.56131296826,0,1,3489.87731324602,0.886187026685377,0,NaN
addition_instances,M1,9,6109,6809007,add,1,Repair,7,1000,19,0,0,0.0015857,6582.56131296826,6582.56131296826,0,1,3489.87731324602,0.886187026685377,0,NaN
addition_instances,M1,9,6109,6809007,add,1,Repair,7,1500,19,0,0,0.0015857,6582.56131296826,6582.56131296826,0,1,3489.87731324602,0.886187026685377,0,NaN
addition_instances,M1,9,6109,6809007,add,1,Repair,7,2500,19,0,0,0.0015857,6582.56131296826,6582.56131296826,0,1,3489.87731324602,0.886187026685377,0,NaN
addition_instances,M1,9,6109,6809007,add,1,WarmPSO,7,500,498,78,0,0.2885172,5950.27282066402,5950.27282066402,0,1,3489.87731324602,0.705009169829391,1,79
addition_instances,M1,9,6109,6809007,add,1,WarmPSO,7,1000,978,78,0,0.2885172,5950.27282066402,5950.27282066402,0,1,3489.87731324602,0.705009169829391,1,79
addition_instances,M1,9,6109,6809007,add,1,WarmPSO,7,1500,1488,78,0,0.2885172,5950.27282066402,5950.27282066402,0,1,3489.87731324602,0.705009169829391,1,79
addition_instances,M1,9,6109,6809007,add,1,WarmPSO,7,2500,2478,78,0,0.2885172,5950.27282066402,5950.27282066402,0,1,3489.87731324602,0.705009169829391,1,79
addition_instances,M1,9,6109,6809007,add,1,WarmPSO_Relocate,7,500,493,78,175,0.3316957,4873.07819357401,4873.07819357401,0,1,3489.87731324602,0.396346563553387,1,79
addition_instances,M1,9,6109,6809007,add,1,WarmPSO_Relocate,7,1000,988,78,400,0.3316957,4337.31171608202,4337.31171608202,0,1,3489.87731324602,0.242826416739498,1,79
addition_instances,M1,9,6109,6809007,add,1,WarmPSO_Relocate,7,1500,1483,78,625,0.3316957,3540.04457015807,3540.04457015807,0,1,3489.87731324602,0.0143750775196709,1,79
addition_instances,M1,9,6109,6809007,add,1,WarmPSO_Relocate,7,2500,2473,78,1075,0.3316957,3340.85031301819,3340.85031301819,0,1,3489.87731324602,-0.0427026473573109,1,79
addition_instances,M1,9,6109,6809008,add,1,Repair,8,500,19,0,0,0.0020698,6582.56131296826,6582.56131296826,0,1,3489.87731324602,0.886187026685377,0,NaN
addition_instances,M1,9,6109,6809008,add,1,Repair,8,1000,19,0,0,0.0020698,6582.56131296826,6582.56131296826,0,1,3489.87731324602,0.886187026685377,0,NaN
addition_instances,M1,9,6109,6809008,add,1,Repair,8,1500,19,0,0,0.0020698,6582.56131296826,6582.56131296826,0,1,3489.87731324602,0.886187026685377,0,NaN
addition_instances,M1,9,6109,6809008,add,1,Repair,8,2500,19,0,0,0.0020698,6582.56131296826,6582.56131296826,0,1,3489.87731324602,0.886187026685377,0,NaN
addition_instances,M1,9,6109,6809008,add,1,WarmPSO,8,500,497,77,0,0.2870451,6159.17931855439,6159.17931855439,0,1,3489.87731324602,0.76486986954438,1,78
addition_instances,M1,9,6109,6809008,add,1,WarmPSO,8,1000,977,77,0,0.2870451,5997.28346021439,5997.28346021439,0,1,3489.87731324602,0.718479740663484,1,78
