stress_level,instance,scenario_seed,strategy,budget,warm_start_fe,routing_fe,total_fe,response_time,fitness,distance,total_late,is_feasible,gap_to_reference,route_disruption
Near,1,8101,Restart,500,0,480,480,0.0477443,5535.87962179736,5535.87962179736,0,1,0.31766446532786,0.588235294117647
Near,1,8101,Restart,1000,0,990,990,0.0950006,5569.27597001431,5569.27597001431,0,1,0.325613550987875,0.529411764705882
Near,1,8101,Restart,1500,0,1500,1500,0.1376123,5168.83917147837,5168.83917147837,0,1,0.230300542742015,0.588235294117647
Near,1,8101,Restart,2500,0,2490,2490,0.2303909,3472.65736812924,3472.65736812924,0,1,-0.173429061530563,0.117647058823529
Near,1,8101,WarmStart,500,200,300,500,0.0694952,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Near,1,8101,WarmStart,1000,200,780,980,0.0952344,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Near,1,8101,WarmStart,1500,200,1290,1490,0.1781979,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Near,1,8101,WarmStart,2500,200,2280,2480,0.2215501,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Near,1,8101,Repair,500,0,38,38,0.0104834,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Near,1,8101,Repair,1000,0,38,38,0.0049501,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Near,1,8101,Repair,1500,0,38,38,0.0049797,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Near,1,8101,Repair,2500,0,38,38,0.0041825,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Near,2,8102,Restart,500,0,480,480,0.045484,6539.76755511602,6539.76755511602,0,1,0.556612482133895,0.588235294117647
Near,2,8102,Restart,1000,0,990,990,0.0926956,5538.28430555009,5538.28430555009,0,1,0.318236834408801,0.588235294117647
Near,2,8102,Restart,1500,0,1500,1500,0.1400895,5595.42866000899,5595.42866000899,0,1,0.331838482278476,0.647058823529412
Near,2,8102,Restart,2500,0,2490,2490,0.2401811,4570.46324995672,4570.46324995672,0,1,0.0878735496418831,0.470588235294118
Near,2,8102,WarmStart,500,200,300,500,0.0571962,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Near,2,8102,WarmStart,1000,200,780,980,0.0874563,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Near,2,8102,WarmStart,1500,200,1290,1490,0.145376,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Near,2,8102,WarmStart,2500,200,2280,2480,0.2190717,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Near,2,8102,Repair,500,0,38,38,0.0050944,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Near,2,8102,Repair,1000,0,38,38,0.0034617,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Near,2,8102,Repair,1500,0,38,38,0.0031089,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Near,2,8102,Repair,2500,0,38,38,0.0029261,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Near,3,8103,Restart,500,0,480,480,0.0429015,6965.31171691413,6965.31171691413,0,1,0.657901610282792,0.705882352941176
Near,3,8103,Restart,1000,0,990,990,0.0914096,5718.89327048165,5718.89327048165,0,1,0.361225849970649,0.588235294117647
Near,3,8103,Restart,1500,0,1500,1500,0.1398782,5675.77673964818,5675.77673964818,0,1,0.350963141163944,0.647058823529412
Near,3,8103,Restart,2500,0,2490,2490,0.2386354,4477.90651653869,4477.90651653869,0,1,0.0658429552316363,0.647058823529412
Near,3,8103,WarmStart,500,200,300,500,0.0474201,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Near,3,8103,WarmStart,1000,200,780,980,0.091016,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Near,3,8103,WarmStart,1500,200,1290,1490,0.1438821,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Near,3,8103,WarmStart,2500,200,2280,2480,0.220534,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Near,3,8103,Repair,500,0,38,38,0.0028859,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Near,3,8103,Repair,1000,0,38,38,0.0029385,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Near,3,8103,Repair,1500,0,38,38,0.0033122,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Near,3,8103,Repair,2500,0,38,38,0.0035137,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Near,4,8104,Restart,500,0,480,480,0.0515277,5915.752774161,5915.752774161,0,1,0.408082861029741,0.529411764705882
Near,4,8104,Restart,1000,0,990,990,0.0959119,4775.55653567494,4775.55653567494,0,1,0.136690386916335,0.588235294117647
Near,4,8104,Restart,1500,0,1500,1500,0.1468333,4634.56457941325,4634.56457941325,0,1,0.103131114794234,0.705882352941176
Near,4,8104,Restart,2500,0,2490,2490,0.2265659,4672.82528009286,4672.82528009286,0,1,0.112238026278645,0.647058823529412
Near,4,8104,WarmStart,500,200,300,500,0.0468341,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Near,4,8104,WarmStart,1000,200,780,980,0.0912652,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Near,4,8104,WarmStart,1500,200,1290,1490,0.1373162,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Near,4,8104,WarmStart,2500,200,2280,2480,0.2302915,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Near,4,8104,Repair,500,0,38,38,0.00358,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Near,4,8104,Repair,1000,0,38,38,0.0030903,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Near,4,8104,Repair,1500,0,38,38,0.0027931,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Near,4,8104,Repair,2500,0,38,38,0.0027525,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Near,5,8105,Restart,500,0,480,480,0.0434604,5372.99719481513,5372.99719481513,0,1,0.278894766431995,0.529411764705882
Near,5,8105,Restart,1000,0,990,990,0.0912815,6586.18858556331,6586.18858556331,0,1,0.567661736533042,0.588235294117647
Near,5,8105,Restart,1500,0,1500,1500,0.1412694,4804.97488516721,4804.97488516721,0,1,0.143692618973897,0.470588235294118
Near,5,8105,Restart,2500,0,2490,2490,0.2208666,4494.38464010761,4494.38464010761,0,1,0.0697651210599098,0.588235294117647
Near,5,8105,WarmStart,500,200,300,500,0.0480217,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Near,5,8105,WarmStart,1000,200,780,980,0.092547,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Near,5,8105,WarmStart,1500,200,1290,1490,0.1521002,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Near,5,8105,WarmStart,2500,200,2280,2480,0.2266219,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Near,5,8105,Repair,500,0,38,38,0.0030681,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Near,5,8105,Repair,1000,0,38,38,0.0029706,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Near,5,8105,Repair,1500,0,38,38,0.0030173,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Near,5,8105,Repair,2500,0,38,38,0.0037207,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Far,1,8201,Restart,500,0,480,480,0.0560088,6921.96017990606,6921.96017990606,0,1,0.233025282696394,0.529411764705882
Far,1,8201,Restart,1000,0,990,990,0.1046002,4559.40973170692,4559.40973170692,0,1,-0.187821465704688,0.764705882352941
Far,1,8201,Restart,1500,0,1500,1500,0.1352922,5202.78331897603,5202.78331897603,0,1,-0.0732157935101606,0.705882352941176
Far,1,8201,Restart,2500,0,2490,2490,0.259077,5431.55308850962,5431.55308850962,0,1,-0.0324644886167289,0.705882352941176
Far,1,8201,WarmStart,500,200,300,500,0.0456871,4634.60735704447,4634.60735704447,0,1,-0.174426333281204,0.0588235294117647
