instance,nCustomers,method,seed,budget_factor,budget_fe,actual_fe,total_late,is_feasible,first_feasible_fe,tour_cost,gap_to_bks,mode
rc_201.1,19,StateSwitch,940104,100,1900,1900,0,1,665,445.3805,0.00189071849552338,global
rc_201.1,19,PSO,940105,25,475,475,1881.5811,0,NaN,647.6073,NaN,none
rc_201.1,19,Global,940105,25,475,475,1479.8634,0,NaN,561.1668,NaN,global
rc_201.1,19,LateOnly,940105,25,475,475,39.7798,0,NaN,492.8363,NaN,late
rc_201.1,19,Propagation,940105,25,475,475,0,1,354,456.2946,0.0264421649345389,propagation
rc_201.1,19,StateSwitch,940105,25,475,475,0,1,354,456.2946,0.0264421649345389,global
rc_201.1,19,PSO,940105,50,950,950,1481.3968,0,NaN,625.1395,NaN,none
rc_201.1,19,Global,940105,50,950,950,683.5044,0,NaN,519.1204,NaN,global
rc_201.1,19,LateOnly,940105,50,950,950,0,1,705,454.0247,0.0213359877626309,late
rc_201.1,19,Propagation,940105,50,950,950,0,1,354,456.2946,0.0264421649345389,propagation
rc_201.1,19,StateSwitch,940105,50,950,950,0,1,354,444.5425,5.62379088495462e-06,global
rc_201.1,19,PSO,940105,100,1900,1900,1478.0188,0,NaN,631.5746,NaN,none
rc_201.1,19,Global,940105,100,1900,1900,103.2659,0,NaN,506.0658,NaN,global
rc_201.1,19,LateOnly,940105,100,1900,1900,0,1,705,449.893,0.0120416610428758,late
rc_201.1,19,Propagation,940105,100,1900,1900,0,1,354,449.893,0.0120416610428758,propagation
rc_201.1,19,StateSwitch,940105,100,1900,1900,0,1,354,444.5425,5.62379088495462e-06,global
rc_201.1,19,PSO,940106,25,475,475,628.1213,0,NaN,608.0891,NaN,none
rc_201.1,19,Global,940106,25,475,475,547.139,0,NaN,619.2327,NaN,global
rc_201.1,19,LateOnly,940106,25,475,475,0,1,436,492.3416,0.107530480946596,late
rc_201.1,19,Propagation,940106,25,475,475,0,1,436,492.3416,0.107530480946596,propagation
rc_201.1,19,StateSwitch,940106,25,475,475,0,1,436,485.9065,0.0930546182570747,global
rc_201.1,19,PSO,940106,50,950,950,549.4587,0,NaN,601.6533,NaN,none
rc_201.1,19,Global,940106,50,950,950,0,1,821,543.4165,0.222424303774688,global
rc_201.1,19,LateOnly,940106,50,950,950,0,1,436,460.1194,0.0350461150852566,late
rc_201.1,19,Propagation,940106,50,950,950,0,1,436,455.8046,0.025339901921087,propagation
rc_201.1,19,StateSwitch,940106,50,950,950,0,1,436,469.3267,0.0557580870112924,global
rc_201.1,19,PSO,940106,100,1900,1900,488.917,0,NaN,604.541,NaN,none
rc_201.1,19,Global,940106,100,1900,1900,0,1,821,503.9994,0.13375489269807,global
rc_201.1,19,LateOnly,940106,100,1900,1900,0,1,436,453.0497,0.0191427093174965,late
rc_201.1,19,Propagation,940106,100,1900,1900,0,1,436,448.5372,0.00899176677014434,propagation
rc_201.1,19,StateSwitch,940106,100,1900,1900,0,1,436,444.5425,5.62379088495462e-06,global
rc_201.1,19,PSO,940107,25,475,475,613.5918,0,NaN,509.8822,NaN,none
rc_201.1,19,Global,940107,25,475,475,371.7472,0,NaN,509.1873,NaN,global
rc_201.1,19,LateOnly,940107,25,475,475,0,1,396,487.5859,0.0968324560219553,late
rc_201.1,19,Propagation,940107,25,475,475,0,1,397,489.7288,0.101652944616907,propagation
rc_201.1,19,StateSwitch,940107,25,475,475,0,1,397,488.4187,0.0987058532415531,global
rc_201.1,19,PSO,940107,50,950,950,560.1103,0,NaN,493.9616,NaN,none
rc_201.1,19,Global,940107,50,950,950,140.9764,0,NaN,564.5094,NaN,global
rc_201.1,19,LateOnly,940107,50,950,950,0,1,396,480.2635,0.0803605974715436,late
rc_201.1,19,Propagation,940107,50,950,950,0,1,397,488.1882,0.0981873397219598,propagation
rc_201.1,19,StateSwitch,940107,50,950,950,0,1,397,482.8134,0.0860966392225671,global
rc_201.1,19,PSO,940107,100,1900,1900,560.1103,0,NaN,493.9616,NaN,none
rc_201.1,19,Global,940107,100,1900,1900,0,1,1219,450.9224,0.0143573131776666,global
rc_201.1,19,LateOnly,940107,100,1900,1900,0,1,396,469.581,0.0563301390201107,late
rc_201.1,19,Propagation,940107,100,1900,1900,0,1,397,477.5232,0.0741962478067214,propagation
rc_201.1,19,StateSwitch,940107,100,1900,1900,0,1,397,482.8134,0.0860966392225671,global
rc_201.1,19,PSO,940108,25,475,475,1875.8587,0,NaN,472.0334,NaN,none
rc_201.1,19,Global,940108,25,475,475,688.8171,0,NaN,651.4239,NaN,global
rc_201.1,19,LateOnly,940108,25,475,475,0,1,382,544.7462,0.225415485670581,late
rc_201.1,19,Propagation,940108,25,475,475,0,1,473,602.493,0.355317856660818,propagation
rc_201.1,19,StateSwitch,940108,25,475,475,0,1,473,602.493,0.355317856660818,propagation
rc_201.1,19,PSO,940108,50,950,950,1722.4129,0,NaN,479.4202,NaN,none
rc_201.1,19,Global,940108,50,950,950,244.7029,0,NaN,638.7076,NaN,global
