instance,nCustomers,method,seed,budget_factor,budget_fe,actual_fe,total_late,is_feasible,first_feasible_fe,tour_cost,gap_to_bks,mode
rc_201.3,31,LateOnly,940210,25,775,775,1880.2032,0,NaN,1047.4081,NaN,late
rc_201.3,31,Propagation,940210,25,775,775,1783.7953,0,NaN,1048.0249,NaN,propagation
rc_201.3,31,StateSwitch,940210,25,775,775,1783.7953,0,NaN,1048.0249,NaN,propagation
rc_201.3,31,PSO,940210,50,1550,1550,5314.1348,0,NaN,907.1035,NaN,none
rc_201.3,31,Global,940210,50,1550,1550,1716.6727,0,NaN,954.3504,NaN,global
rc_201.3,31,LateOnly,940210,50,1550,1550,641.633999999999,0,NaN,925.0375,NaN,late
rc_201.3,31,Propagation,940210,50,1550,1550,696.901199999999,0,NaN,925.6543,NaN,propagation
rc_201.3,31,StateSwitch,940210,50,1550,1550,696.901199999999,0,NaN,925.6543,NaN,propagation
rc_201.3,31,PSO,940210,100,3100,3100,5305.9429,0,NaN,902.2222,NaN,none
rc_201.3,31,Global,940210,100,3100,3100,162.7721,0,NaN,826.9952,NaN,global
rc_201.3,31,LateOnly,940210,100,3100,3100,426.3365,0,NaN,939.6167,NaN,late
rc_201.3,31,Propagation,940210,100,3100,3100,339.8256,0,NaN,880.8788,NaN,propagation
rc_201.3,31,StateSwitch,940210,100,3100,3100,339.8256,0,NaN,880.8788,NaN,propagation
rc_204.1,45,PSO,940301,25,1125,1125,6557.0261,0,NaN,1628.6168,NaN,none
rc_204.1,45,Global,940301,25,1125,1125,6940.7538,0,NaN,1778.1522,NaN,global
rc_204.1,45,LateOnly,940301,25,1125,1125,6323.4043,0,NaN,1557.2009,NaN,late
rc_204.1,45,Propagation,940301,25,1125,1125,6946.0732,0,NaN,1513.2237,NaN,propagation
rc_204.1,45,StateSwitch,940301,25,1125,1125,6946.0732,0,NaN,1513.2237,NaN,propagation
rc_204.1,45,PSO,940301,50,2250,2250,5054.6448,0,NaN,1515.1672,NaN,none
rc_204.1,45,Global,940301,50,2250,2250,3795.85932,0,NaN,1496.19987,NaN,global
rc_204.1,45,LateOnly,940301,50,2250,2250,3690.7095,0,NaN,1284.2886,NaN,late
rc_204.1,45,Propagation,940301,50,2250,2250,3663.0968,0,NaN,1283.8824,NaN,propagation
rc_204.1,45,StateSwitch,940301,50,2250,2250,3663.0968,0,NaN,1283.8824,NaN,propagation
rc_204.1,45,PSO,940301,100,4500,4500,5054.6448,0,NaN,1515.1672,NaN,none
rc_204.1,45,Global,940301,100,4500,4500,1788.86947,0,NaN,1275.88997,NaN,global
rc_204.1,45,LateOnly,940301,100,4500,4500,3214.2176,0,NaN,1257.2862,NaN,late
rc_204.1,45,Propagation,940301,100,4500,4500,3002.3404,0,NaN,1205.7468,NaN,propagation
rc_204.1,45,StateSwitch,940301,100,4500,4500,3002.3404,0,NaN,1205.7468,NaN,propagation
rc_204.1,45,PSO,940302,25,1125,1125,6251.2035,0,NaN,1605.2171,NaN,none
rc_204.1,45,Global,940302,25,1125,1125,10090.9746,0,NaN,1806.3907,NaN,global
rc_204.1,45,LateOnly,940302,25,1125,1125,4873.69,0,NaN,1565.6419,NaN,late
rc_204.1,45,Propagation,940302,25,1125,1125,4746.3598,0,NaN,1502.1247,NaN,propagation
rc_204.1,45,StateSwitch,940302,25,1125,1125,4746.3598,0,NaN,1502.1247,NaN,propagation
rc_204.1,45,PSO,940302,50,2250,2250,4840.1519,0,NaN,1478.9931,NaN,none
rc_204.1,45,Global,940302,50,2250,2250,6081.3304,0,NaN,1631.6596,NaN,global
rc_204.1,45,LateOnly,940302,50,2250,2250,2285.3367,0,NaN,1263.0412,NaN,late
rc_204.1,45,Propagation,940302,50,2250,2250,2124.9122,0,NaN,1258.4827,NaN,propagation
rc_204.1,45,StateSwitch,940302,50,2250,2250,2124.9122,0,NaN,1258.4827,NaN,propagation
rc_204.1,45,PSO,940302,100,4500,4500,4840.1519,0,NaN,1478.9931,NaN,none
rc_204.1,45,Global,940302,100,4500,4500,1742.9062,0,NaN,1226.754,NaN,global
rc_204.1,45,LateOnly,940302,100,4500,4500,1425.555,0,NaN,1179.7572,NaN,late
rc_204.1,45,Propagation,940302,100,4500,4500,2036.0048,0,NaN,1257.0012,NaN,propagation
rc_204.1,45,StateSwitch,940302,100,4500,4500,2036.0048,0,NaN,1257.0012,NaN,propagation
rc_204.1,45,PSO,940303,25,1125,1125,8281.3286,0,NaN,1664.3011,NaN,none
rc_204.1,45,Global,940303,25,1125,1125,8939.312,0,NaN,1738.6914,NaN,global
rc_204.1,45,LateOnly,940303,25,1125,1125,4840.26299999999,0,NaN,1563.0878,NaN,late
rc_204.1,45,Propagation,940303,25,1125,1125,4631.7911,0,NaN,1505.5335,NaN,propagation
rc_204.1,45,StateSwitch,940303,25,1125,1125,4631.7911,0,NaN,1505.5335,NaN,propagation
rc_204.1,45,PSO,940303,50,2250,2250,5748.31840000001,0,NaN,1494.5192,NaN,none
rc_204.1,45,Global,940303,50,2250,2250,5080.6499,0,NaN,1469.7611,NaN,global
rc_204.1,45,LateOnly,940303,50,2250,2250,2577.7579,0,NaN,1259.1072,NaN,late
rc_204.1,45,Propagation,940303,50,2250,2250,2366.6026,0,NaN,1227.623,NaN,propagation
rc_204.1,45,StateSwitch,940303,50,2250,2250,2366.6026,0,NaN,1227.623,NaN,propagation
rc_204.1,45,PSO,940303,100,4500,4500,5622.0013,0,NaN,1486.9385,NaN,none
rc_204.1,45,Global,940303,100,4500,4500,2773.3239,0,NaN,1293.2246,NaN,global
rc_204.1,45,LateOnly,940303,100,4500,4500,2125.024,0,NaN,1224.5489,NaN,late
rc_204.1,45,Propagation,940303,100,4500,4500,2318.4539,0,NaN,1223.6357,NaN,propagation
rc_204.1,45,StateSwitch,940303,100,4500,4500,2318.4539,0,NaN,1223.6357,NaN,propagation
rc_204.1,45,PSO,940304,25,1125,1125,11271.6652,0,NaN,1824.853,NaN,none
rc_204.1,45,Global,940304,25,1125,1125,8038.3341,0,NaN,1648.0986,NaN,global
rc_204.1,45,LateOnly,940304,25,1125,1125,4533.3809,0,NaN,1446.9283,NaN,late
rc_204.1,45,Propagation,940304,25,1125,1125,4721.09,0,NaN,1459.5113,NaN,propagation
rc_204.1,45,StateSwitch,940304,25,1125,1125,4721.09,0,NaN,1459.5113,NaN,propagation
rc_204.1,45,PSO,940304,50,2250,2250,6272.3548,0,NaN,1484.9682,NaN,none
rc_204.1,45,Global,940304,50,2250,2250,4293.3965,0,NaN,1444.1384,NaN,global
rc_204.1,45,LateOnly,940304,50,2250,2250,1148.12,0,NaN,1123.755,NaN,late
rc_204.1,45,Propagation,940304,50,2250,2250,1148.12,0,NaN,1123.755,NaN,propagation
rc_204.1,45,StateSwitch,940304,50,2250,2250,1148.12,0,NaN,1123.755,NaN,propagation
rc_204.1,45,PSO,940304,100,4500,4500,6272.3548,0,NaN,1484.9682,NaN,none
rc_204.1,45,Global,940304,100,4500,4500,1175.0831,0,NaN,1126.654,NaN,global
rc_204.1,45,LateOnly,940304,100,4500,4500,1050.8699,0,NaN,1116.4659,NaN,late
rc_204.1,45,Propagation,940304,100,4500,4500,1045.8174,0,NaN,1113.284,NaN,propagation
rc_204.1,45,StateSwitch,940304,100,4500,4500,1045.8174,0,NaN,1113.284,NaN,propagation
rc_204.1,45,PSO,940305,25,1125,1125,10205.9447,0,NaN,1742.6109,NaN,none
rc_204.1,45,Global,940305,25,1125,1125,8218.2275,0,NaN,1745.2024,NaN,global
rc_204.1,45,LateOnly,940305,25,1125,1125,3893.662,0,NaN,1455.3869,NaN,late
rc_204.1,45,Propagation,940305,25,1125,1125,3879.2158,0,NaN,1416.7943,NaN,propagation
rc_204.1,45,StateSwitch,940305,25,1125,1125,3879.2158,0,NaN,1416.7943,NaN,propagation
rc_204.1,45,PSO,940305,50,2250,2250,6868.8009,0,NaN,1522.2365,NaN,none
rc_204.1,45,Global,940305,50,2250,2250,5453.4069,0,NaN,1526.573,NaN,global
rc_204.1,45,LateOnly,940305,50,2250,2250,2354.2545,0,NaN,1194.1393,NaN,late
rc_204.1,45,Propagation,940305,50,2250,2250,2690.7196,0,NaN,1196.3875,NaN,propagation
rc_204.1,45,StateSwitch,940305,50,2250,2250,2690.7196,0,NaN,1196.3875,NaN,propagation
rc_204.1,45,PSO,940305,100,4500,4500,6829.3212,0,NaN,1517.3508,NaN,none
rc_204.1,45,Global,940305,100,4500,4500,1152.7363,0,NaN,1192.9568,NaN,global
rc_204.1,45,LateOnly,940305,100,4500,4500,2092.2534,0,NaN,1169.7307,NaN,late
rc_204.1,45,Propagation,940305,100,4500,4500,1466.1556,0,NaN,1136.2999,NaN,propagation
rc_204.1,45,StateSwitch,940305,100,4500,4500,1466.1556,0,NaN,1136.2999,NaN,propagation
rc_204.1,45,PSO,940306,25,1125,1125,4440.3513,0,NaN,1384.3399,NaN,none
rc_204.1,45,Global,940306,25,1125,1125,8384.1545,0,NaN,1758.4458,NaN,global
rc_204.1,45,LateOnly,940306,25,1125,1125,6739.467,0,NaN,1520.5673,NaN,late
rc_204.1,45,Propagation,940306,25,1125,1125,6739.467,0,NaN,1520.5673,NaN,propagation
rc_204.1,45,StateSwitch,940306,25,1125,1125,6739.467,0,NaN,1520.5673,NaN,propagation
rc_204.1,45,PSO,940306,50,2250,2250,4210.2395,0,NaN,1376.9196,NaN,none
rc_204.1,45,Global,940306,50,2250,2250,4716.769,0,NaN,1552.2486,NaN,global
rc_204.1,45,LateOnly,940306,50,2250,2250,6739.467,0,NaN,1520.5673,NaN,late
rc_204.1,45,Propagation,940306,50,2250,2250,6739.467,0,NaN,1520.5673,NaN,propagation
rc_204.1,45,StateSwitch,940306,50,2250,2250,6739.467,0,NaN,1520.5673,NaN,propagation
rc_204.1,45,PSO,940306,100,4500,4500,4210.2395,0,NaN,1376.9196,NaN,none
rc_204.1,45,Global,940306,100,4500,4500,2055.4247,0,NaN,1303.4149,NaN,global
rc_204.1,45,LateOnly,940306,100,4500,4500,3269.6561,0,NaN,1315.6561,NaN,late
rc_204.1,45,Propagation,940306,100,4500,4500,4778.3175,0,NaN,1352.9233,NaN,propagation
rc_204.1,45,StateSwitch,940306,100,4500,4500,4778.3175,0,NaN,1352.9233,NaN,propagation
rc_204.1,45,PSO,940307,25,1125,1125,4205.9937,0,NaN,1489.5256,NaN,none
rc_204.1,45,Global,940307,25,1125,1125,9372.52477,0,NaN,1758.14547,NaN,global
rc_204.1,45,LateOnly,940307,25,1125,1125,5246.6726,0,NaN,1522.87317,NaN,late
rc_204.1,45,Propagation,940307,25,1125,1125,5246.6726,0,NaN,1522.87317,NaN,propagation
rc_204.1,45,StateSwitch,940307,25,1125,1125,5246.6726,0,NaN,1522.87317,NaN,propagation
rc_204.1,45,PSO,940307,50,2250,2250,3801.0467,0,NaN,1478.1218,NaN,none
rc_204.1,45,Global,940307,50,2250,2250,4670.4838,0,NaN,1430.56097,NaN,global
rc_204.1,45,LateOnly,940307,50,2250,2250,1626.03047,0,NaN,1219.75427,NaN,late
rc_204.1,45,Propagation,940307,50,2250,2250,1563.45494,0,NaN,1174.47687,NaN,propagation
rc_204.1,45,StateSwitch,940307,50,2250,2250,1563.45494,0,NaN,1174.47687,NaN,propagation
rc_204.1,45,PSO,940307,100,4500,4500,3801.0467,0,NaN,1478.1218,NaN,none
rc_204.1,45,Global,940307,100,4500,4500,1460.9143,0,NaN,1203.71947,NaN,global
rc_204.1,45,LateOnly,940307,100,4500,4500,674.5147,0,NaN,1106.92287,NaN,late
rc_204.1,45,Propagation,940307,100,4500,4500,1513.23587,0,NaN,1172.24387,NaN,propagation
rc_204.1,45,StateSwitch,940307,100,4500,4500,1513.23587,0,NaN,1172.24387,NaN,propagation
rc_204.1,45,PSO,940308,25,1125,1125,9350.5991,0,NaN,1801.2895,NaN,none
rc_204.1,45,Global,940308,25,1125,1125,8983.7652,0,NaN,1846.6475,NaN,global
rc_204.1,45,LateOnly,940308,25,1125,1125,5274.3282,0,NaN,1487.6095,NaN,late
rc_204.1,45,Propagation,940308,25,1125,1125,5245.5432,0,NaN,1573.2091,NaN,propagation
rc_204.1,45,StateSwitch,940308,25,1125,1125,5245.5432,0,NaN,1573.2091,NaN,propagation
rc_204.1,45,PSO,940308,50,2250,2250,3444.7322,0,NaN,1495.8589,NaN,none
rc_204.1,45,Global,940308,50,2250,2250,4131.5255,0,NaN,1497.078,NaN,global
rc_204.1,45,LateOnly,940308,50,2250,2250,4310.5654,0,NaN,1359.8119,NaN,late
rc_204.1,45,Propagation,940308,50,2250,2250,2620.1033,0,NaN,1253.9361,NaN,propagation
rc_204.1,45,StateSwitch,940308,50,2250,2250,2620.1033,0,NaN,1253.9361,NaN,propagation
rc_204.1,45,PSO,940308,100,4500,4500,3444.7322,0,NaN,1495.8589,NaN,none
rc_204.1,45,Global,940308,100,4500,4500,1908.9678,0,NaN,1304.7286,NaN,global
rc_204.1,45,LateOnly,940308,100,4500,4500,2826.7557,0,NaN,1232.641,NaN,late
rc_204.1,45,Propagation,940308,100,4500,4500,2582.344,0,NaN,1255.8577,NaN,propagation
rc_204.1,45,StateSwitch,940308,100,4500,4500,2582.344,0,NaN,1255.8577,NaN,propagation
rc_204.1,45,PSO,940309,25,1125,1125,8832.5236,0,NaN,1705.1829,NaN,none
rc_204.1,45,Global,940309,25,1125,1125,11563.8025,0,NaN,1870.1055,NaN,global
rc_204.1,45,LateOnly,940309,25,1125,1125,5535.9517,0,NaN,1461.2786,NaN,late
rc_204.1,45,Propagation,940309,25,1125,1125,5527.0452,0,NaN,1461.4474,NaN,propagation
rc_204.1,45,StateSwitch,940309,25,1125,1125,5527.0452,0,NaN,1461.4474,NaN,propagation
rc_204.1,45,PSO,940309,50,2250,2250,7023.6682,0,NaN,1556.5758,NaN,none
rc_204.1,45,Global,940309,50,2250,2250,4094.9671,0,NaN,1593.8418,NaN,global
rc_204.1,45,LateOnly,940309,50,2250,2250,4084.6503,0,NaN,1368.3543,NaN,late
rc_204.1,45,Propagation,940309,50,2250,2250,4731.7242,0,NaN,1384.1008,NaN,propagation
rc_204.1,45,StateSwitch,940309,50,2250,2250,4731.7242,0,NaN,1384.1008,NaN,propagation
rc_204.1,45,PSO,940309,100,4500,4500,7023.6682,0,NaN,1556.5758,NaN,none
rc_204.1,45,Global,940309,100,4500,4500,1119.0061,0,NaN,1228.5708,NaN,global
rc_204.1,45,LateOnly,940309,100,4500,4500,2999.7894,0,NaN,1275.347,NaN,late
rc_204.1,45,Propagation,940309,100,4500,4500,2778.8096,0,NaN,1262.5088,NaN,propagation
rc_204.1,45,StateSwitch,940309,100,4500,4500,2778.8096,0,NaN,1262.5088,NaN,propagation
rc_204.1,45,PSO,940310,25,1125,1125,12181.8948,0,NaN,1925.8425,NaN,none
rc_204.1,45,Global,940310,25,1125,1125,7597.5904,0,NaN,1787.1669,NaN,global
rc_204.1,45,LateOnly,940310,25,1125,1125,4370.0779,0,NaN,1475.6719,NaN,late
rc_204.1,45,Propagation,940310,25,1125,1125,4589.309,0,NaN,1444.5004,NaN,propagation
rc_204.1,45,StateSwitch,940310,25,1125,1125,4589.309,0,NaN,1444.5004,NaN,propagation
rc_204.1,45,PSO,940310,50,2250,2250,7815.9516,0,NaN,1601.5492,NaN,none
rc_204.1,45,Global,940310,50,2250,2250,3693.0596,0,NaN,1465.3312,NaN,global
rc_204.1,45,LateOnly,940310,50,2250,2250,1289.0606,0,NaN,1119.9334,NaN,late
rc_204.1,45,Propagation,940310,50,2250,2250,1667.9083,0,NaN,1228.811,NaN,propagation
rc_204.1,45,StateSwitch,940310,50,2250,2250,1667.9083,0,NaN,1228.811,NaN,propagation
rc_204.1,45,PSO,940310,100,4500,4500,7815.9516,0,NaN,1601.5492,NaN,none
rc_204.1,45,Global,940310,100,4500,4500,1649.2935,0,NaN,1250.6016,NaN,global
rc_204.1,45,LateOnly,940310,100,4500,4500,811.197899999998,0,NaN,1056.1646,NaN,late
rc_204.1,45,Propagation,940310,100,4500,4500,1640.1415,0,NaN,1226.4971,NaN,propagation
rc_204.1,45,StateSwitch,940310,100,4500,4500,1640.1415,0,NaN,1226.4971,NaN,propagation
