dataset,level,instance,checkpoint_fe,actual_fe,distance,late,obstacle_violation,is_feasible,gap_to_bks,bks_cost,run_total_fe
addition_instances,M1,1,500,480,5175.4313825411,0,0,1,0.482964982536577,3489.9215042075,19980
addition_instances,M1,1,1000,960,4638.2286025331,0,0,1,0.329035222408638,3489.9215042075,19980
addition_instances,M1,1,1500,1500,4401.50402980857,0,0,1,0.261204306315214,3489.9215042075,19980
addition_instances,M1,1,2500,2460,3958.29997594034,0,0,1,0.134208884402745,3489.9215042075,19980
addition_instances,M1,1,5000,4980,3802.82958423161,0,0,1,0.0896604922623226,3489.9215042075,19980
addition_instances,M1,1,10000,9960,3802.82958423161,0,0,1,0.0896604922623226,3489.9215042075,19980
addition_instances,M1,1,20000,19980,3802.82958423161,0,0,1,0.0896604922623226,3489.9215042075,19980
addition_instances,M4,1,500,480,7328.30816895564,0,0,1,1.098221341406,3492.62874432733,19980
addition_instances,M4,1,1000,960,7114.32374404749,0,0,1,1.03695390058347,3492.62874432733,19980
addition_instances,M4,1,1500,1500,6704.74558192955,0,0,1,0.919684590816958,3492.62874432733,19980
addition_instances,M4,1,2500,2460,6232.66608190926,0,0,1,0.784520067308115,3492.62874432733,19980
addition_instances,M4,1,5000,4980,5568.04074199974,0,0,1,0.594226340558887,3492.62874432733,19980
addition_instances,M4,1,10000,9960,5568.04074199974,0,0,1,0.594226340558887,3492.62874432733,19980
addition_instances,M4,1,20000,19980,5397.1719345208,0,0,1,0.545303646511755,3492.62874432733,19980
addition_stress_instances,Near,1,500,480,6504.05720095438,0,0,1,0.872933754031194,3472.65736812924,19980
addition_stress_instances,Near,1,1000,960,5570.67310327179,0,0,1,0.604152818068767,3472.65736812924,19980
addition_stress_instances,Near,1,1500,1500,5003.44519067457,0,0,1,0.440811649486165,3472.65736812924,19980
addition_stress_instances,Near,1,2500,2460,4748.98228848544,0,0,1,0.367535516768753,3472.65736812924,19980
addition_stress_instances,Near,1,5000,4980,4197.00638344235,0,0,1,0.208586375943943,3472.65736812924,19980
addition_stress_instances,Near,1,10000,9960,4197.00638344235,0,0,1,0.208586375943943,3472.65736812924,19980
addition_stress_instances,Near,1,20000,19980,4197.00638344235,0,0,1,0.208586375943943,3472.65736812924,19980
addition_stress_instances,Near,2,500,480,5867.89209013987,0,0,1,0.680298520171793,3492.17238466647,19980
addition_stress_instances,Near,2,1000,960,4429.66270914965,0,0,1,0.268454767181465,3492.17238466647,19980
addition_stress_instances,Near,2,1500,1500,4427.95825640563,0,0,1,0.26796668911536,3492.17238466647,19980
addition_stress_instances,Near,2,2500,2460,3834.99396517668,0,0,1,0.098168573239821,3492.17238466647,19980
addition_stress_instances,Near,2,5000,4980,3671.4986194382,0,0,1,0.0513509114152316,3492.17238466647,19980
addition_stress_instances,Near,2,10000,9960,3671.4986194382,0,0,1,0.0513509114152316,3492.17238466647,19980
addition_stress_instances,Near,2,20000,19980,3671.4986194382,0,0,1,0.0513509114152316,3492.17238466647,19980
addition_stress_instances,Far,1,500,480,6909.89401767075,0,0,1,0.523095271677041,4536.74444807543,19980
addition_stress_instances,Far,1,1000,960,6187.28334145216,0,0,1,0.363815707996714,4536.74444807543,19980
addition_stress_instances,Far,1,1500,1500,6011.80534175367,0,0,1,0.325136430001913,4536.74444807543,19980
addition_stress_instances,Far,1,2500,2460,4574.3233126963,0,0,1,0.00828322270539337,4536.74444807543,19980
addition_stress_instances,Far,1,5000,4980,4376.8930654697,0,0,1,-0.0352348218938229,4536.74444807543,19980
addition_stress_instances,Far,1,10000,9960,4376.8930654697,0,0,1,-0.0352348218938229,4536.74444807543,19980
addition_stress_instances,Far,1,20000,19980,4376.8930654697,0,0,1,-0.0352348218938229,4536.74444807543,19980
addition_stress_instances,Far,2,500,480,6451.56479319813,0,0,1,0.465507531429786,4402.27337958736,19980
addition_stress_instances,Far,2,1000,960,6451.56479319813,0,0,1,0.465507531429786,4402.27337958736,19980
addition_stress_instances,Far,2,1500,1500,6215.1753930349,0,0,1,0.411810411832594,4402.27337958736,19980
addition_stress_instances,Far,2,2500,2460,5735.04208315747,0,0,1,0.302745556364115,4402.27337958736,19980
addition_stress_instances,Far,2,5000,4980,4417.63112668013,0,0,1,0.00348859458932822,4402.27337958736,19980
addition_stress_instances,Far,2,10000,9960,4417.63112668013,0,0,1,0.00348859458932822,4402.27337958736,19980
addition_stress_instances,Far,2,20000,19980,4417.63112668013,0,0,1,0.00348859458932822,4402.27337958736,19980
addition_stress_instances,Tight,1,500,480,6962.84981434733,0,0,1,0.993844818463145,3492.17238466647,19980
addition_stress_instances,Tight,1,1000,960,6513.57014942111,0,0,1,0.865191471652739,3492.17238466647,19980
addition_stress_instances,Tight,1,1500,1500,5850.64915989299,0,0,1,0.675360925933149,3492.17238466647,19980
addition_stress_instances,Tight,1,2500,2460,5850.64915989299,0,0,1,0.675360925933149,3492.17238466647,19980
addition_stress_instances,Tight,1,5000,4980,5341.82535643185,0,0,1,0.529656834779087,3492.17238466647,19980
addition_stress_instances,Tight,1,10000,9960,4900.61614699546,0,0,1,0.403314500885818,3492.17238466647,19980
addition_stress_instances,Tight,1,20000,19980,4811.29232727268,0,0,1,0.377736204661098,3492.17238466647,19980
addition_stress_instances,Tight,2,500,480,6501.52269676437,0,0,1,0.861741626877139,3492.17238466647,19980
addition_stress_instances,Tight,2,1000,960,5886.41561667356,0,0,1,0.685602819184929,3492.17238466647,19980
addition_stress_instances,Tight,2,1500,1500,5470.99617695538,0,0,1,0.566645507242879,3492.17238466647,19980
addition_stress_instances,Tight,2,2500,2460,5260.79539083533,0,0,1,0.506453522722583,3492.17238466647,19980
addition_stress_instances,Tight,2,5000,4980,4923.62992667748,0,0,1,0.409904605023594,3492.17238466647,19980
addition_stress_instances,Tight,2,10000,9960,4923.62992667748,0,0,1,0.409904605023594,3492.17238466647,19980
addition_stress_instances,Tight,2,20000,19980,4923.62992667748,0,0,1,0.409904605023594,3492.17238466647,19980
