dataset,level,instance,scenario_seed,algorithm_seed,method,seed_index,checkpoint_fe,actual_fe,warm_start_fe,local_search_fe,local_budget,response_time,fitness,distance,total_late,is_feasible,reference_cost,gap_to_reference
addition_instances,M1,9,6109,6829002,Fixed25,2,1000,987,77,400,25,0.2595776,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829002,Fixed25,2,1500,1482,77,625,25,0.2595776,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829002,Fixed25,2,2500,2472,77,1075,25,0.2595776,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829002,Fixed35,2,500,497,77,210,35,0.2387013,3442.4591825315,3442.4591825315,0,1,3489.87731324602,-0.0135873345846693
addition_instances,M1,9,6109,6829002,Fixed35,2,1000,952,77,455,35,0.2387013,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829002,Fixed35,2,1500,1472,77,735,35,0.2387013,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829002,Fixed35,2,2500,2447,77,1260,35,0.2387013,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829002,Fixed40,2,500,457,77,200,40,0.2501099,3442.4591825315,3442.4591825315,0,1,3489.87731324602,-0.0135873345846693
addition_instances,M1,9,6109,6829002,Fixed40,2,1000,947,77,480,40,0.2501099,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829002,Fixed40,2,1500,1437,77,760,40,0.2501099,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829002,Fixed40,2,2500,2487,77,1360,40,0.2501099,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829002,Adaptive,2,500,492,77,175,25,0.3016355,3442.4591825315,3442.4591825315,0,1,3489.87731324602,-0.0135873345846693
addition_instances,M1,9,6109,6829002,Adaptive,2,1000,987,77,400,25,0.3016355,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829002,Adaptive,2,1500,1482,77,625,25,0.3016355,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829002,Adaptive,2,2500,2500,77,1075,0,0.3016355,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829003,Fixed5,3,500,492,77,55,5,0.297434,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829003,Fixed5,3,1000,982,77,125,5,0.297434,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829003,Fixed5,3,1500,1472,77,195,5,0.297434,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829003,Fixed5,3,2500,2487,77,340,5,0.297434,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829003,Fixed15,3,500,467,77,120,15,0.2807654,3489.75337928123,3489.75337928123,0,1,3489.87731324602,-3.55124130936371e-05
addition_instances,M1,9,6109,6829003,Fixed15,3,1000,962,77,285,15,0.2807654,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829003,Fixed15,3,1500,1457,77,450,15,0.2807654,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829003,Fixed15,3,2500,2492,77,795,15,0.2807654,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829003,Fixed25,3,500,492,77,175,25,0.2634925,3489.75337928123,3489.75337928123,0,1,3489.87731324602,-3.55124130936371e-05
addition_instances,M1,9,6109,6829003,Fixed25,3,1000,987,77,400,25,0.2634925,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829003,Fixed25,3,1500,1482,77,625,25,0.2634925,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829003,Fixed25,3,2500,2472,77,1075,25,0.2634925,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829003,Fixed35,3,500,497,77,210,35,0.2534916,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0
addition_instances,M1,9,6109,6829003,Fixed35,3,1000,952,77,455,35,0.2534916,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829003,Fixed35,3,1500,1472,77,735,35,0.2534916,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829003,Fixed35,3,2500,2447,77,1260,35,0.2534916,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829003,Fixed40,3,500,457,77,200,40,0.2527924,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0
addition_instances,M1,9,6109,6829003,Fixed40,3,1000,947,77,480,40,0.2527924,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829003,Fixed40,3,1500,1437,77,760,40,0.2527924,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829003,Fixed40,3,2500,2487,77,1360,40,0.2527924,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829003,Adaptive,3,500,492,77,175,25,0.2775624,3489.75337928123,3489.75337928123,0,1,3489.87731324602,-3.55124130936371e-05
addition_instances,M1,9,6109,6829003,Adaptive,3,1000,987,77,400,25,0.2775624,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829003,Adaptive,3,1500,1482,77,625,25,0.2775624,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829003,Adaptive,3,2500,2500,77,1075,0,0.2775624,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829004,Fixed5,4,500,492,77,55,5,0.2949815,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0
addition_instances,M1,9,6109,6829004,Fixed5,4,1000,982,77,125,5,0.2949815,3489.75337928123,3489.75337928123,0,1,3489.87731324602,-3.55124130936371e-05
addition_instances,M1,9,6109,6829004,Fixed5,4,1500,1472,77,195,5,0.2949815,3489.75337928123,3489.75337928123,0,1,3489.87731324602,-3.55124130936371e-05
addition_instances,M1,9,6109,6829004,Fixed5,4,2500,2487,77,340,5,0.2949815,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829004,Fixed15,4,500,467,77,120,15,0.2963228,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0
addition_instances,M1,9,6109,6829004,Fixed15,4,1000,962,77,285,15,0.2963228,3489.75337928123,3489.75337928123,0,1,3489.87731324602,-3.55124130936371e-05
addition_instances,M1,9,6109,6829004,Fixed15,4,1500,1457,77,450,15,0.2963228,3489.75337928123,3489.75337928123,0,1,3489.87731324602,-3.55124130936371e-05
addition_instances,M1,9,6109,6829004,Fixed15,4,2500,2492,77,795,15,0.2963228,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829004,Fixed25,4,500,492,77,175,25,0.3259153,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0
addition_instances,M1,9,6109,6829004,Fixed25,4,1000,987,77,400,25,0.3259153,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829004,Fixed25,4,1500,1482,77,625,25,0.3259153,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829004,Fixed25,4,2500,2472,77,1075,25,0.3259153,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829004,Fixed35,4,500,497,77,210,35,0.3248185,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0
addition_instances,M1,9,6109,6829004,Fixed35,4,1000,952,77,455,35,0.3248185,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829004,Fixed35,4,1500,1472,77,735,35,0.3248185,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829004,Fixed35,4,2500,2447,77,1260,35,0.3248185,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829004,Fixed40,4,500,457,77,200,40,0.3028648,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0
addition_instances,M1,9,6109,6829004,Fixed40,4,1000,947,77,480,40,0.3028648,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829004,Fixed40,4,1500,1437,77,760,40,0.3028648,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829004,Fixed40,4,2500,2487,77,1360,40,0.3028648,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829004,Adaptive,4,500,492,77,175,25,0.3219437,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0
addition_instances,M1,9,6109,6829004,Adaptive,4,1000,987,77,400,25,0.3219437,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829004,Adaptive,4,1500,1482,77,625,25,0.3219437,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829004,Adaptive,4,2500,2500,77,1075,0,0.3219437,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829005,Fixed5,5,500,492,77,55,5,0.3622766,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0
addition_instances,M1,9,6109,6829005,Fixed5,5,1000,982,77,125,5,0.3622766,3442.4591825315,3442.4591825315,0,1,3489.87731324602,-0.0135873345846693
addition_instances,M1,9,6109,6829005,Fixed5,5,1500,1472,77,195,5,0.3622766,3442.4591825315,3442.4591825315,0,1,3489.87731324602,-0.0135873345846693
addition_instances,M1,9,6109,6829005,Fixed5,5,2500,2487,77,340,5,0.3622766,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829005,Fixed15,5,500,467,77,120,15,0.3215178,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0
addition_instances,M1,9,6109,6829005,Fixed15,5,1000,962,77,285,15,0.3215178,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0
addition_instances,M1,9,6109,6829005,Fixed15,5,1500,1457,77,450,15,0.3215178,3442.4591825315,3442.4591825315,0,1,3489.87731324602,-0.0135873345846693
addition_instances,M1,9,6109,6829005,Fixed15,5,2500,2492,77,795,15,0.3215178,3442.4591825315,3442.4591825315,0,1,3489.87731324602,-0.0135873345846693
addition_instances,M1,9,6109,6829005,Fixed25,5,500,492,77,175,25,0.2969662,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0
addition_instances,M1,9,6109,6829005,Fixed25,5,1000,987,77,400,25,0.2969662,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0
addition_instances,M1,9,6109,6829005,Fixed25,5,1500,1482,77,625,25,0.2969662,3442.4591825315,3442.4591825315,0,1,3489.87731324602,-0.0135873345846693
addition_instances,M1,9,6109,6829005,Fixed25,5,2500,2472,77,1075,25,0.2969662,3442.4591825315,3442.4591825315,0,1,3489.87731324602,-0.0135873345846693
addition_instances,M1,9,6109,6829005,Fixed35,5,500,497,77,210,35,0.3230633,3442.4591825315,3442.4591825315,0,1,3489.87731324602,-0.0135873345846693
addition_instances,M1,9,6109,6829005,Fixed35,5,1000,952,77,455,35,0.3230633,3442.4591825315,3442.4591825315,0,1,3489.87731324602,-0.0135873345846693
addition_instances,M1,9,6109,6829005,Fixed35,5,1500,1472,77,735,35,0.3230633,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829005,Fixed35,5,2500,2447,77,1260,35,0.3230633,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829005,Fixed40,5,500,457,77,200,40,0.2697998,3442.4591825315,3442.4591825315,0,1,3489.87731324602,-0.0135873345846693
addition_instances,M1,9,6109,6829005,Fixed40,5,1000,947,77,480,40,0.2697998,3442.4591825315,3442.4591825315,0,1,3489.87731324602,-0.0135873345846693
addition_instances,M1,9,6109,6829005,Fixed40,5,1500,1437,77,760,40,0.2697998,3442.4591825315,3442.4591825315,0,1,3489.87731324602,-0.0135873345846693
addition_instances,M1,9,6109,6829005,Fixed40,5,2500,2487,77,1360,40,0.2697998,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629
addition_instances,M1,9,6109,6829005,Adaptive,5,500,492,77,175,25,0.3500783,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0
addition_instances,M1,9,6109,6829005,Adaptive,5,1000,987,77,400,25,0.3500783,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0
addition_instances,M1,9,6109,6829005,Adaptive,5,1500,1482,77,625,25,0.3500783,3442.4591825315,3442.4591825315,0,1,3489.87731324602,-0.0135873345846693
addition_instances,M1,9,6109,6829005,Adaptive,5,2500,2500,77,1075,0,0.3500783,3442.4591825315,3442.4591825315,0,1,3489.87731324602,-0.0135873345846693
addition_instances,M1,10,6110,6830001,Fixed5,1,500,493,78,55,5,0.3729094,3490.38557065644,3490.38557065644,0,1,3490.38557065644,0
addition_instances,M1,10,6110,6830001,Fixed5,1,1000,983,78,125,5,0.3729094,3442.96743994192,3442.96743994192,0,1,3490.38557065644,-0.0135853560458086
addition_instances,M1,10,6110,6830001,Fixed5,1,1500,1473,78,195,5,0.3729094,3442.96743994192,3442.96743994192,0,1,3490.38557065644,-0.0135853560458086
addition_instances,M1,10,6110,6830001,Fixed5,1,2500,2488,78,340,5,0.3729094,3442.96743994192,3442.96743994192,0,1,3490.38557065644,-0.0135853560458086
addition_instances,M1,10,6110,6830001,Fixed15,1,500,468,78,120,15,0.3139491,3490.38557065644,3490.38557065644,0,1,3490.38557065644,0
addition_instances,M1,10,6110,6830001,Fixed15,1,1000,963,78,285,15,0.3139491,3442.84350597712,3442.84350597712,0,1,3490.38557065644,-0.0136208632877122
addition_instances,M1,10,6110,6830001,Fixed15,1,1500,1458,78,450,15,0.3139491,3442.84350597712,3442.84350597712,0,1,3490.38557065644,-0.0136208632877122
addition_instances,M1,10,6110,6830001,Fixed15,1,2500,2493,78,795,15,0.3139491,3442.84350597712,3442.84350597712,0,1,3490.38557065644,-0.0136208632877122
addition_instances,M1,10,6110,6830001,Fixed25,1,500,493,78,175,25,0.3026765,3490.38557065644,3490.38557065644,0,1,3490.38557065644,0
addition_instances,M1,10,6110,6830001,Fixed25,1,1000,988,78,400,25,0.3026765,3442.96743994192,3442.96743994192,0,1,3490.38557065644,-0.0135853560458086
addition_instances,M1,10,6110,6830001,Fixed25,1,1500,1483,78,625,25,0.3026765,3442.84350597712,3442.84350597712,0,1,3490.38557065644,-0.0136208632877122
addition_instances,M1,10,6110,6830001,Fixed25,1,2500,2473,78,1075,25,0.3026765,3442.84350597712,3442.84350597712,0,1,3490.38557065644,-0.0136208632877122
addition_instances,M1,10,6110,6830001,Fixed35,1,500,498,78,210,35,0.2842973,3490.38557065644,3490.38557065644,0,1,3490.38557065644,0
addition_instances,M1,10,6110,6830001,Fixed35,1,1000,953,78,455,35,0.2842973,3442.96743994192,3442.96743994192,0,1,3490.38557065644,-0.0135853560458086
addition_instances,M1,10,6110,6830001,Fixed35,1,1500,1473,78,735,35,0.2842973,3442.84350597712,3442.84350597712,0,1,3490.38557065644,-0.0136208632877122
addition_instances,M1,10,6110,6830001,Fixed35,1,2500,2448,78,1260,35,0.2842973,3442.84350597712,3442.84350597712,0,1,3490.38557065644,-0.0136208632877122
addition_instances,M1,10,6110,6830001,Fixed40,1,500,458,78,200,40,0.2719645,3490.26163669164,3490.26163669164,0,1,3490.38557065644,-3.5507241903592e-05
addition_instances,M1,10,6110,6830001,Fixed40,1,1000,948,78,480,40,0.2719645,3442.84350597712,3442.84350597712,0,1,3490.38557065644,-0.0136208632877122
addition_instances,M1,10,6110,6830001,Fixed40,1,1500,1438,78,760,40,0.2719645,3442.84350597712,3442.84350597712,0,1,3490.38557065644,-0.0136208632877122
addition_instances,M1,10,6110,6830001,Fixed40,1,2500,2488,78,1360,40,0.2719645,3442.84350597712,3442.84350597712,0,1,3490.38557065644,-0.0136208632877122
addition_instances,M1,10,6110,6830001,Adaptive,1,500,493,78,175,25,0.3172152,3490.38557065644,3490.38557065644,0,1,3490.38557065644,0
addition_instances,M1,10,6110,6830001,Adaptive,1,1000,988,78,400,25,0.3172152,3442.96743994192,3442.96743994192,0,1,3490.38557065644,-0.0135853560458086
addition_instances,M1,10,6110,6830001,Adaptive,1,1500,1483,78,625,25,0.3172152,3442.84350597712,3442.84350597712,0,1,3490.38557065644,-0.0136208632877122
addition_instances,M1,10,6110,6830001,Adaptive,1,2500,2500,78,1075,0,0.3172152,3442.84350597712,3442.84350597712,0,1,3490.38557065644,-0.0136208632877122
addition_instances,M1,10,6110,6830002,Fixed5,2,500,493,78,55,5,0.3506929,3490.38557065644,3490.38557065644,0,1,3490.38557065644,0
addition_instances,M1,10,6110,6830002,Fixed5,2,1000,983,78,125,5,0.3506929,3490.38557065644,3490.38557065644,0,1,3490.38557065644,0
addition_instances,M1,10,6110,6830002,Fixed5,2,1500,1473,78,195,5,0.3506929,3490.26163669164,3490.26163669164,0,1,3490.38557065644,-3.5507241903592e-05
addition_instances,M1,10,6110,6830002,Fixed5,2,2500,2488,78,340,5,0.3506929,3490.26163669164,3490.26163669164,0,1,3490.38557065644,-3.5507241903592e-05
addition_instances,M1,10,6110,6830002,Fixed15,2,500,468,78,120,15,0.3491864,3442.96743994192,3442.96743994192,0,1,3490.38557065644,-0.0135853560458086
addition_instances,M1,10,6110,6830002,Fixed15,2,1000,963,78,285,15,0.3491864,3442.84350597712,3442.84350597712,0,1,3490.38557065644,-0.0136208632877122
addition_instances,M1,10,6110,6830002,Fixed15,2,1500,1458,78,450,15,0.3491864,3442.84350597712,3442.84350597712,0,1,3490.38557065644,-0.0136208632877122
