level,instance,scenario_seed,algorithm_seed,budget,strategy,event_time,event_size,oracle_status,reference_cost,warm_start_fe,routing_fe,total_fe,response_time,fitness,distance,total_late,obstacle_violation,is_feasible,gap_to_reference,route_disruption,gap_to_bks,bks_cost
M1,3,6103,8900,1000,Restart,90,1,KNOWN_FEASIBLE_WITNESS,3489.89059281845,0,990,990,0.0822448,5023.32267743306,5023.32267743306,0,0,1,0.439392595220643,0.647058823529412,0.504841936123859,3338.10651926144
M1,3,6103,9400,1500,Restart,90,1,KNOWN_FEASIBLE_WITNESS,3489.89059281845,0,1500,1500,0.1279666,4866.91794045703,4866.91794045703,0,0,1,0.394576079396945,0.705882352941176,0.457987608356441,3338.10651926144
M1,3,6103,10400,2500,Restart,90,1,KNOWN_FEASIBLE_WITNESS,3489.89059281845,0,2490,2490,0.1961771,4618.05849430141,4618.05849430141,0,0,1,0.323267412395254,0.705882352941176,0.383436528359545,3338.10651926144
M1,3,6103,8400,500,WarmStart,90,1,KNOWN_FEASIBLE_WITNESS,3489.89059281845,78,420,498,0.041892,3489.89059281845,3489.89059281845,0,0,1,0,0,0.0454701108790837,3338.10651926144
M1,3,6103,8900,1000,WarmStart,90,1,KNOWN_FEASIBLE_WITNESS,3489.89059281845,77,900,977,0.0783382,3489.89059281845,3489.89059281845,0,0,1,0,0,0.0454701108790837,3338.10651926144
M1,3,6103,9400,1500,WarmStart,90,1,KNOWN_FEASIBLE_WITNESS,3489.89059281845,78,1410,1488,0.1182369,3489.89059281845,3489.89059281845,0,0,1,0,0,0.0454701108790837,3338.10651926144
M1,3,6103,10400,2500,WarmStart,90,1,KNOWN_FEASIBLE_WITNESS,3489.89059281845,76,2400,2476,0.201769,3489.89059281845,3489.89059281845,0,0,1,0,0,0.0454701108790837,3338.10651926144
M1,3,6103,8400,500,Repair,90,1,KNOWN_FEASIBLE_WITNESS,3489.89059281845,0,19,19,0.0014932,3489.89059281845,3489.89059281845,0,0,1,0,0,0.0454701108790837,3338.10651926144
M1,3,6103,8900,1000,Repair,90,1,KNOWN_FEASIBLE_WITNESS,3489.89059281845,0,19,19,0.0013863,3489.89059281845,3489.89059281845,0,0,1,0,0,0.0454701108790837,3338.10651926144
M1,3,6103,9400,1500,Repair,90,1,KNOWN_FEASIBLE_WITNESS,3489.89059281845,0,19,19,0.001385,3489.89059281845,3489.89059281845,0,0,1,0,0,0.0454701108790837,3338.10651926144
M1,3,6103,10400,2500,Repair,90,1,KNOWN_FEASIBLE_WITNESS,3489.89059281845,0,19,19,0.0013738,3489.89059281845,3489.89059281845,0,0,1,0,0,0.0454701108790837,3338.10651926144
M1,4,6104,8500,500,Restart,90,1,KNOWN_FEASIBLE_WITNESS,3489.91923314473,0,480,480,0.0386418,4660.2217149955,4660.2217149955,0,0,1,0.335337984540181,0.764705882352941,0.338997938164095,3480.38005300079
