dataset,level,instance,scenario_seed,algorithm_seed,event_type,event_size,strategy,seed_index,checkpoint_fe,actual_fe,warm_start_fe,impact_preprocess_fe,local_search_fe,response_time,fitness,distance,total_late,is_feasible,reference_cost,gap_to_reference,overtake_repair,first_feasible_fe,impact_priority_fe,impact_global_fe,improvement_per_100_local_fe,mean_accepted_source_rank
addition_instances,M1,9,6109,6809002,add,1,WarmPSO_GlobalRelocate,2,1000,986,76,0,400,0.2356082,3442.4591825315,3442.4591825315,0,1,3489.87731324602,-0.0135873345846693,1,77,NaN,NaN,0.186046511627907,1.5
addition_instances,M1,9,6109,6809002,add,1,WarmPSO_GlobalRelocate,2,1500,1481,76,0,625,0.2356082,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629,1,77,NaN,NaN,0.186046511627907,1.5
addition_instances,M1,9,6109,6809002,add,1,WarmPSO_GlobalRelocate,2,2500,2471,76,0,1075,0.2356082,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629,1,77,NaN,NaN,0.186046511627907,1.5
addition_instances,M1,9,6109,6809002,add,1,WarmPSO_ImpactRelocate,2,500,456,76,20,150,0.251245,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,97,1075,0,0.186046511627907,1.5
addition_instances,M1,9,6109,6809002,add,1,WarmPSO_ImpactRelocate,2,1000,951,76,20,375,0.251245,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,97,1075,0,0.186046511627907,1.5
addition_instances,M1,9,6109,6809002,add,1,WarmPSO_ImpactRelocate,2,1500,1446,76,20,600,0.251245,3489.75337928123,3489.75337928123,0,1,3489.87731324602,-3.55124130936371e-05,1,97,1075,0,0.186046511627907,1.5
addition_instances,M1,9,6109,6809002,add,1,WarmPSO_ImpactRelocate,2,2500,2491,76,20,1075,0.251245,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629,1,97,1075,0,0.186046511627907,1.5
addition_instances,M1,9,6109,6809003,add,1,Repair,3,500,19,0,0,0,0.0021033,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,NaN,0,0,NaN,NaN
addition_instances,M1,9,6109,6809003,add,1,Repair,3,1000,19,0,0,0,0.0021033,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,NaN,0,0,NaN,NaN
addition_instances,M1,9,6109,6809003,add,1,Repair,3,1500,19,0,0,0,0.0021033,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,NaN,0,0,NaN,NaN
addition_instances,M1,9,6109,6809003,add,1,Repair,3,2500,19,0,0,0,0.0021033,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,NaN,0,0,NaN,NaN
addition_instances,M1,9,6109,6809003,add,1,WarmPSO,3,500,497,77,0,0,0.2109661,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,78,NaN,NaN,0,NaN
addition_instances,M1,9,6109,6809003,add,1,WarmPSO,3,1000,977,77,0,0,0.2109661,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,78,NaN,NaN,0,NaN
