instance,nCustomers,method,seed,budget_factor,budget_fe,actual_fe,total_late,is_feasible,first_feasible_fe,tour_cost,gap_to_bks,feedback_updates
rc_201.1,19,Feedback,980104,100,1900,1900,0,1,1077,444.5425,5.62379088495462e-06,26
rc_201.1,19,Full,980104,100,1900,1900,0,1,562,444.5425,5.62379088495462e-06,20
rc_201.1,19,PSO,980105,25,475,475,679.2659,0,NaN,538.1152,NaN,0
rc_201.1,19,FixedRelocate,980105,25,475,475,173.5571,0,NaN,473.3022,NaN,0
rc_201.1,19,StateSwitch,980105,25,475,475,0,1,398,490.9298,0.104354613758042,0
rc_201.1,19,Feedback,980105,25,475,475,173.5571,0,NaN,473.3022,NaN,10
rc_201.1,19,Full,980105,25,475,475,0,1,398,490.9298,0.104354613758042,11
rc_201.1,19,PSO,980105,50,950,950,618.1674,0,NaN,520.8255,NaN,0
rc_201.1,19,FixedRelocate,980105,50,950,950,122.0799,0,NaN,475.1265,NaN,0
rc_201.1,19,StateSwitch,980105,50,950,950,0,1,398,453.0497,0.0191427093174965,0
rc_201.1,19,Feedback,980105,50,950,950,122.0799,0,NaN,475.1265,NaN,13
rc_201.1,19,Full,980105,50,950,950,0,1,398,453.0497,0.0191427093174965,14
rc_201.1,19,PSO,980105,100,1900,1900,618.1674,0,NaN,520.8255,NaN,0
rc_201.1,19,FixedRelocate,980105,100,1900,1900,0,1,1386,449.3752,0.0108768614747828,0
rc_201.1,19,StateSwitch,980105,100,1900,1900,0,1,398,444.5425,5.62379088495462e-06,0
rc_201.1,19,Feedback,980105,100,1900,1900,0,1,1386,449.3752,0.0108768614747828,19
rc_201.1,19,Full,980105,100,1900,1900,0,1,398,444.5425,5.62379088495462e-06,16
rc_201.1,19,PSO,980106,25,475,475,292.4202,0,NaN,636.5359,NaN,0
rc_201.1,19,FixedRelocate,980106,25,475,475,305.0281,0,NaN,606.5803,NaN,0
rc_201.1,19,StateSwitch,980106,25,475,475,0,1,432,571.6308,0.285892833040896,0
rc_201.1,19,Feedback,980106,25,475,475,305.0281,0,NaN,606.5803,NaN,6
rc_201.1,19,Full,980106,25,475,475,0,1,432,571.6308,0.285892833040896,11
rc_201.1,19,PSO,980106,50,950,950,285,0,NaN,594.0994,NaN,0
