instance,nCustomers,method,seed,checkpoint_fe,actual_fe,total_late,is_feasible,first_feasible_fe,tour_cost
rc_201.3,31,PSO_GlobalRelocate,930201,1550,1550,2871.5887,0,NaN,1012.4391
rc_201.3,31,PSO_FeasibilityRelocate,930201,775,740,906.4836,0,NaN,931.3912
rc_201.3,31,PSO_FeasibilityRelocate,930201,1550,1550,79.8439000000001,0,NaN,879.9005
rc_201.3,31,RandomKeyPSO,930202,775,760,6565.2625,0,NaN,1039.1592
rc_201.3,31,RandomKeyPSO,930202,1550,1550,6010.7806,0,NaN,1026.9302
rc_201.3,31,PSO_GlobalRelocate,930202,775,740,4344.3104,0,NaN,1177.4579
rc_201.3,31,PSO_GlobalRelocate,930202,1550,1550,2333.1344,0,NaN,1050.4734
rc_201.3,31,PSO_FeasibilityRelocate,930202,775,740,655.2472,0,NaN,919.8706
rc_201.3,31,PSO_FeasibilityRelocate,930202,1550,1550,11.2693999999999,0,NaN,881.0186
rc_201.3,31,RandomKeyPSO,930203,775,760,5087.8343,0,NaN,926.3561
rc_201.3,31,RandomKeyPSO,930203,1550,1550,4500.8183,0,NaN,890.9863
rc_201.3,31,PSO_GlobalRelocate,930203,775,740,7618.4535,0,NaN,1155.8292
rc_201.3,31,PSO_GlobalRelocate,930203,1550,1550,2712.7019,0,NaN,992.8111
rc_201.3,31,PSO_FeasibilityRelocate,930203,775,740,1810.0659,0,1511,1026.9612
rc_201.3,31,PSO_FeasibilityRelocate,930203,1550,1550,0,1,1511,859.2481
rc_201.3,31,RandomKeyPSO,930204,775,760,4311.2366,0,NaN,917.3357
rc_201.3,31,RandomKeyPSO,930204,1550,1550,3856.5798,0,NaN,871.6174
rc_201.3,31,PSO_GlobalRelocate,930204,775,740,3326.8432,0,NaN,1018.6389
rc_201.3,31,PSO_GlobalRelocate,930204,1550,1550,1518.884,0,NaN,947.3996
rc_201.3,31,PSO_FeasibilityRelocate,930204,775,740,394.585699999999,0,NaN,875.5271
rc_201.3,31,PSO_FeasibilityRelocate,930204,1550,1550,285.895699999999,0,NaN,866.4431
rc_201.3,31,RandomKeyPSO,930205,775,760,4452.3457,0,NaN,857.3417
rc_201.3,31,RandomKeyPSO,930205,1550,1550,3353.6337,0,NaN,893.1956
rc_201.3,31,PSO_GlobalRelocate,930205,775,740,4805.6681,0,NaN,904.1327
rc_201.3,31,PSO_GlobalRelocate,930205,1550,1550,3073.2463,0,NaN,866.0759
rc_201.3,31,PSO_FeasibilityRelocate,930205,775,740,810.7731,0,NaN,941.5744
rc_201.3,31,PSO_FeasibilityRelocate,930205,1550,1550,331.2592,0,NaN,909.6418
rc_201.3,31,RandomKeyPSO,930206,775,760,7772.1925,0,NaN,1119.5942
rc_201.3,31,RandomKeyPSO,930206,1550,1550,5235.8776,0,NaN,924.3503
rc_201.3,31,PSO_GlobalRelocate,930206,775,740,5531.1391,0,NaN,1030.233
rc_201.3,31,PSO_GlobalRelocate,930206,1550,1550,2523.1348,0,NaN,1074.667
rc_201.3,31,PSO_FeasibilityRelocate,930206,775,740,1037.3741,0,NaN,1018.2044
rc_201.3,31,PSO_FeasibilityRelocate,930206,1550,1550,24.8278999999997,0,NaN,883.0435
rc_201.3,31,RandomKeyPSO,930207,775,760,5614.6061,0,NaN,980.0322
rc_201.3,31,RandomKeyPSO,930207,1550,1550,5546.4582,0,NaN,967.153
