instance,feature,direction,route_count,median_rho,iqr_rho,positive_rho_fraction,oracle_hit_rate,top3_rate,median_normalized_rank,median_gain_capture,selected_improve_rate
rc_201.1,local_travel,max,22,0.238313373887216,0.471229070991679,0.681818181818182,0.363636363636364,0.590909090909091,0.0555555555555556,1,0.636363636363636
rc_201.1,local_travel,min,22,0.238313373887216,0.471229070991679,0.681818181818182,0.136363636363636,0.136363636363636,0.527777777777778,0.0238963261150581,0.545454545454545
rc_201.1,removal_saving,max,22,0.49439991396484,0.286836828051601,1,0.454545454545455,0.590909090909091,0.0555555555555556,1,0.727272727272727
rc_201.1,removal_saving,min,22,0.49439991396484,0.286836828051601,1,0,0,0.944444444444444,0,0
rc_201.1,slack,max,22,0.00680665962646662,0.21478806259291,0.5,0.0454545454545455,0.363636363636364,0.361111111111111,0,0.363636363636364
rc_201.1,slack,min,22,0.00680665962646662,0.21478806259291,0.5,0,0.0909090909090909,0.388888888888889,0.0834559584339404,0.590909090909091
rc_201.1,waiting,max,22,-0.0569748801370926,0.332094230455222,0.409090909090909,0,0.181818181818182,0.472222222222222,0,0.318181818181818
rc_201.1,waiting,min,22,-0.0569748801370926,0.332094230455222,0.409090909090909,0.136363636363636,0.227272727272727,0.333333333333333,0,0.227272727272727
rc_201.3,local_travel,max,8,0.0578281875760876,0.213059037716278,0.75,0,0.125,0.6,0,0.375
rc_201.3,local_travel,min,8,0.0578281875760876,0.213059037716278,0.75,0,0,0.416666666666667,0,0
rc_201.3,removal_saving,max,8,0.384307154849606,0.256105456180705,1,0,0.375,0.516666666666667,0.012686874228503,0.5
rc_201.3,removal_saving,min,8,0.384307154849606,0.256105456180705,1,0,0,0.8,0,0
rc_201.3,slack,max,8,-0.121613222353238,0.150735429940991,0.25,0,0.25,0.233333333333333,0,0.125
rc_201.3,slack,min,8,-0.121613222353238,0.150735429940991,0.25,0.25,0.25,0.433333333333333,0.012686874228503,0.5
rc_201.3,waiting,max,8,-0.109998571166425,0.222333257344539,0.25,0,0,0.783333333333333,0,0.25
rc_201.3,waiting,min,8,-0.109998571166425,0.222333257344539,0.25,0,0.25,0.216666666666667,0,0.125
