dataset,level,instance,checkpoint_fe,strategy,fitness,gap_to_bks,actual_fe,is_feasible
addition_stress_instances,Far,1,1000,WarmStart,4598.10628105111,0.0135255211480362,980,1
addition_stress_instances,Far,1,1000,Repair,4598.10628105111,0.0135255211480362,38,1
addition_stress_instances,Far,1,1000,Restart,6187.28334145216,0.363815707996714,960,1
addition_stress_instances,Far,1,1500,Restart,5202.78331897603,0.14680987181968,1500,1
addition_stress_instances,Far,1,1500,WarmStart,4598.10628105111,0.0135255211480362,1490,1
addition_stress_instances,Far,1,1500,Repair,4598.10628105111,0.0135255211480362,38,1
addition_stress_instances,Far,1,1500,Restart,6011.80534175367,0.325136430001913,1500,1
addition_stress_instances,Far,1,2500,Restart,5431.55308850962,0.197235848453792,2490,1
addition_stress_instances,Far,1,2500,WarmStart,4598.10628105111,0.0135255211480362,2480,1
addition_stress_instances,Far,1,2500,Repair,4598.10628105111,0.0135255211480362,38,1
addition_stress_instances,Far,1,2500,Restart,4574.3233126963,0.00828322270539337,2460,1
addition_stress_instances,Far,1,5000,Restart,4376.8930654697,-0.0352348218938229,4980,1
addition_stress_instances,Far,1,10000,Restart,4376.8930654697,-0.0352348218938229,9960,1
addition_stress_instances,Far,1,20000,Restart,4376.8930654697,-0.0352348218938229,19980,1
addition_stress_instances,Far,2,500,Restart,5974.97515945774,0.35724764099448,480,1
addition_stress_instances,Far,2,500,WarmStart,4598.10628105111,0.0444844934827983,500,1
addition_stress_instances,Far,2,500,Repair,4598.10628105111,0.0444844934827983,38,1
addition_stress_instances,Far,2,500,Restart,6451.56479319813,0.465507531429786,480,1
addition_stress_instances,Far,2,1000,Restart,6410.43383156172,0.456164412979412,990,1
addition_stress_instances,Far,2,1000,WarmStart,4598.10628105111,0.0444844934827983,980,1
addition_stress_instances,Far,2,1000,Repair,4598.10628105111,0.0444844934827983,38,1
addition_stress_instances,Far,2,1000,Restart,6451.56479319813,0.465507531429786,960,1
addition_stress_instances,Far,2,1500,Restart,6063.05570888255,0.377255610020943,1500,1
addition_stress_instances,Far,2,1500,WarmStart,4598.10628105111,0.0444844934827983,1490,1
addition_stress_instances,Far,2,1500,Repair,4598.10628105111,0.0444844934827983,38,1
addition_stress_instances,Far,2,1500,Restart,6215.1753930349,0.411810411832594,1500,1
addition_stress_instances,Far,2,2500,Restart,4402.27337958736,0,2490,1
addition_stress_instances,Far,2,2500,WarmStart,4598.10628105111,0.0444844934827983,2480,1
addition_stress_instances,Far,2,2500,Repair,4598.10628105111,0.0444844934827983,38,1
addition_stress_instances,Far,2,2500,Restart,5735.04208315747,0.302745556364115,2460,1
addition_stress_instances,Far,2,5000,Restart,4417.63112668013,0.00348859458932822,4980,1
addition_stress_instances,Far,2,10000,Restart,4417.63112668013,0.00348859458932822,9960,1
addition_stress_instances,Far,2,20000,Restart,4417.63112668013,0.00348859458932822,19980,1
addition_stress_instances,Tight,1,500,Restart,5432.0674449601,0.555498081598542,480,1
addition_stress_instances,Tight,1,500,WarmStart,3492.17238466647,0,500,1
addition_stress_instances,Tight,1,500,Repair,3492.17238466647,0,38,1
addition_stress_instances,Tight,1,500,Restart,6962.84981434733,0.993844818463145,480,1
addition_stress_instances,Tight,1,1000,Restart,6042.01062707819,0.730158182799802,990,1
addition_stress_instances,Tight,1,1000,WarmStart,3492.17238466647,0,980,1
addition_stress_instances,Tight,1,1000,Repair,3492.17238466647,0,38,1
addition_stress_instances,Tight,1,1000,Restart,6513.57014942111,0.865191471652739,960,1
addition_stress_instances,Tight,1,1500,Restart,4715.8599026222,0.350408680662138,1500,1
addition_stress_instances,Tight,1,1500,WarmStart,3492.17238466647,0,1490,1
addition_stress_instances,Tight,1,1500,Repair,3492.17238466647,0,38,1
addition_stress_instances,Tight,1,1500,Restart,5850.64915989299,0.675360925933149,1500,1
addition_stress_instances,Tight,1,2500,Restart,4797.10836403025,0.373674560022733,2490,1
addition_stress_instances,Tight,1,2500,WarmStart,3492.17238466647,0,2480,1
addition_stress_instances,Tight,1,2500,Repair,3492.17238466647,0,38,1
addition_stress_instances,Tight,1,2500,Restart,5850.64915989299,0.675360925933149,2460,1
addition_stress_instances,Tight,1,5000,Restart,5341.82535643185,0.529656834779087,4980,1
addition_stress_instances,Tight,1,10000,Restart,4900.61614699546,0.403314500885818,9960,1
addition_stress_instances,Tight,1,20000,Restart,4811.29232727268,0.377736204661098,19980,1
addition_stress_instances,Tight,2,500,Restart,5872.70769391709,0.68167749098044,480,1
addition_stress_instances,Tight,2,500,WarmStart,3492.17238466647,0,500,1
