dataset,level,instance,seed_index,algorithm_seed,k,free_count,preprocess_fe,search_fe,total_fe,bks_cost,cost,gap_to_bks,improvement_over_repair,unique_route_ratio,route_change_rate,improvement_count,last_improvement_fe,is_feasible
addition_instances,M1,9,1,22101,0,1,20,991,1011,3251.1452136787,3489.87731324602,0.0734301557995287,0,0.0181818181818182,0.380853277835588,0,0,1
addition_instances,M1,9,1,22101,2,3,20,991,1011,3251.1452136787,3489.87731324602,0.0734301557995287,0,0.127272727272727,0.572320499479709,0,0,1
addition_instances,M1,9,1,22101,4,5,20,991,1011,3251.1452136787,3489.87731324602,0.0734301557995287,0,0.186868686868687,0.81789802289282,0,0,1
addition_instances,M1,9,1,22101,6,7,20,991,1011,3251.1452136787,3489.87731324602,0.0734301557995287,0,0.375757575757576,0.916753381893861,0,0,1
addition_instances,M1,9,1,22101,8,9,20,991,1011,3251.1452136787,3489.87731324602,0.0734301557995287,0,0.542424242424242,0.942767950052029,0,0,1
addition_instances,M1,9,1,22101,12,13,20,991,1011,3251.1452136787,3489.87731324602,0.0734301557995287,0,0.813131313131313,0.95525494276795,0,0,1
addition_instances,M1,9,1,22101,Inf,18,20,991,1011,3251.1452136787,3489.87731324602,0.0734301557995287,0,0.891919191919192,0.959417273673257,0,0,1
addition_instances,M1,9,2,22102,0,1,20,991,1011,3251.1452136787,3489.87731324602,0.0734301557995287,0,0.0171717171717172,0.203954214360042,0,0,1
addition_instances,M1,9,2,22102,2,3,20,991,1011,3251.1452136787,3489.87731324602,0.0734301557995287,0,0.141414141414141,0.59729448491155,0,0,1
addition_instances,M1,9,2,22102,4,5,20,991,1011,3251.1452136787,3489.87731324602,0.0734301557995287,0,0.23030303030303,0.819979188345473,0,0,1
addition_instances,M1,9,2,22102,6,7,20,991,1011,3251.1452136787,3489.87731324602,0.0734301557995287,0,0.358585858585859,0.918834547346514,0,0,1
addition_instances,M1,9,2,22102,8,9,20,991,1011,3251.1452136787,3489.87731324602,0.0734301557995287,0,0.548484848484848,0.938605619146722,0,0,1
addition_instances,M1,9,2,22102,12,13,20,991,1011,3251.1452136787,3489.87731324602,0.0734301557995287,0,0.82020202020202,0.95837669094693,0,0,1
addition_instances,M1,9,2,22102,Inf,18,20,991,1011,3251.1452136787,3489.87731324602,0.0734301557995287,0,0.923232323232323,0.965660770031218,0,0,1
addition_instances,M1,9,3,22103,0,1,20,991,1011,3251.1452136787,3489.87731324602,0.0734301557995287,0,0.0181818181818182,0.293444328824142,0,0,1
addition_instances,M1,9,3,22103,2,3,20,991,1011,3251.1452136787,3442.4591825315,0.0588451011194068,0.0135873345846693,0.172727272727273,0.885535900104058,1,46,1
addition_instances,M1,9,3,22103,4,5,20,991,1011,3251.1452136787,3489.87731324602,0.0734301557995287,0,0.201010101010101,0.818938605619147,0,0,1
addition_instances,M1,9,3,22103,6,7,20,991,1011,3251.1452136787,3489.87731324602,0.0734301557995287,0,0.378787878787879,0.911550468262227,0,0,1
addition_instances,M1,9,3,22103,8,9,20,991,1011,3251.1452136787,3489.87731324602,0.0734301557995287,0,0.566666666666667,0.936524453694069,0,0,1
addition_instances,M1,9,3,22103,12,13,20,991,1011,3251.1452136787,3489.87731324602,0.0734301557995287,0,0.802020202020202,0.954214360041623,0,0,1
addition_instances,M1,9,3,22103,Inf,18,20,991,1011,3251.1452136787,3489.87731324602,0.0734301557995287,0,0.922222222222222,0.965660770031218,0,0,1
addition_instances,M1,9,4,22104,0,1,20,991,1011,3251.1452136787,3489.87731324602,0.0734301557995287,0,0.0181818181818182,0.31321540062435,0,0,1
addition_instances,M1,9,4,22104,2,3,20,991,1011,3251.1452136787,3489.87731324602,0.0734301557995287,0,0.142424242424242,0.643080124869927,0,0,1
addition_instances,M1,9,4,22104,4,5,20,991,1011,3251.1452136787,3489.87731324602,0.0734301557995287,0,0.181818181818182,0.838709677419355,0,0,1
addition_instances,M1,9,4,22104,6,7,20,991,1011,3251.1452136787,3489.87731324602,0.0734301557995287,0,0.36969696969697,0.908428720083247,0,0,1
addition_instances,M1,9,4,22104,8,9,20,991,1011,3251.1452136787,3489.87731324602,0.0734301557995287,0,0.584848484848485,0.931321540062435,0,0,1
addition_instances,M1,9,4,22104,12,13,20,991,1011,3251.1452136787,3489.87731324602,0.0734301557995287,0,0.816161616161616,0.959417273673257,0,0,1
addition_instances,M1,9,4,22104,Inf,18,20,991,1011,3251.1452136787,3489.87731324602,0.0734301557995287,0,0.918181818181818,0.964620187304891,0,0,1
addition_instances,M1,9,5,22105,0,1,20,991,1011,3251.1452136787,3489.87731324602,0.0734301557995287,0,0.0181818181818182,0.276795005202914,0,0,1
addition_instances,M1,9,5,22105,2,3,20,991,1011,3251.1452136787,3442.4591825315,0.0588451011194068,0.0135873345846693,0.188888888888889,0.920915712799168,1,153,1
addition_instances,M1,9,5,22105,4,5,20,991,1011,3251.1452136787,3489.87731324602,0.0734301557995287,0,0.216161616161616,0.791883454734651,0,0,1
addition_instances,M1,9,5,22105,6,7,20,991,1011,3251.1452136787,3489.87731324602,0.0734301557995287,0,0.345454545454545,0.906347554630593,0,0,1
addition_instances,M1,9,5,22105,8,9,20,991,1011,3251.1452136787,3489.87731324602,0.0734301557995287,0,0.597979797979798,0.933402705515088,0,0,1
addition_instances,M1,9,5,22105,12,13,20,991,1011,3251.1452136787,3489.87731324602,0.0734301557995287,0,0.828282828282828,0.959417273673257,0,0,1
addition_instances,M1,9,5,22105,Inf,18,20,991,1011,3251.1452136787,3489.87731324602,0.0734301557995287,0,0.938383838383838,0.963579604578564,0,0,1
addition_instances,M1,10,1,22201,0,1,20,991,1011,3442.96743994192,3490.38557065644,0.0137724598160347,0,0.0171717171717172,0.491155046826223,0,0,1
addition_instances,M1,10,1,22201,2,3,20,991,1011,3442.96743994192,3490.38557065644,0.0137724598160347,0,0.158585858585859,0.857440166493236,0,0,1
addition_instances,M1,10,1,22201,4,5,20,991,1011,3442.96743994192,3490.38557065644,0.0137724598160347,0,0.312121212121212,0.875130072840791,0,0,1
addition_instances,M1,10,1,22201,6,7,20,991,1011,3442.96743994192,3490.38557065644,0.0137724598160347,0,0.558585858585859,0.935483870967742,0,0,1
addition_instances,M1,10,1,22201,8,9,20,991,1011,3442.96743994192,3490.38557065644,0.0137724598160347,0,0.641414141414141,0.94901144640999,0,0,1
addition_instances,M1,10,1,22201,12,13,20,991,1011,3442.96743994192,3490.38557065644,0.0137724598160347,0,0.805050505050505,0.953173777315297,0,0,1
addition_instances,M1,10,1,22201,Inf,18,20,991,1011,3442.96743994192,3490.38557065644,0.0137724598160347,0,0.932323232323232,0.964620187304891,0,0,1
addition_instances,M1,10,2,22202,0,1,20,991,1011,3442.96743994192,3490.38557065644,0.0137724598160347,0,0.0181818181818182,0.557752341311134,0,0,1
addition_instances,M1,10,2,22202,2,3,20,991,1011,3442.96743994192,3490.38557065644,0.0137724598160347,0,0.150505050505051,0.85952133194589,0,0,1
addition_instances,M1,10,2,22202,4,5,20,991,1011,3442.96743994192,3490.38557065644,0.0137724598160347,0,0.284848484848485,0.877211238293444,0,0,1
addition_instances,M1,10,2,22202,6,7,20,991,1011,3442.96743994192,3490.38557065644,0.0137724598160347,0,0.523232323232323,0.922996878251821,0,0,1
addition_instances,M1,10,2,22202,8,9,20,991,1011,3442.96743994192,3490.38557065644,0.0137724598160347,0,0.649494949494949,0.947970863683663,0,0,1
addition_instances,M1,10,2,22202,12,13,20,991,1011,3442.96743994192,3490.38557065644,0.0137724598160347,0,0.804040404040404,0.959417273673257,0,0,1
addition_instances,M1,10,2,22202,Inf,18,20,991,1011,3442.96743994192,3490.38557065644,0.0137724598160347,0,0.907070707070707,0.962539021852237,0,0,1
addition_instances,M1,10,3,22203,0,1,20,991,1011,3442.96743994192,3490.38557065644,0.0137724598160347,0,0.0181818181818182,0.59417273673257,0,0,1
addition_instances,M1,10,3,22203,2,3,20,991,1011,3442.96743994192,3490.38557065644,0.0137724598160347,0,0.167676767676768,0.882414151925078,0,0,1
addition_instances,M1,10,3,22203,4,5,20,991,1011,3442.96743994192,3490.38557065644,0.0137724598160347,0,0.336363636363636,0.890738813735692,0,0,1
addition_instances,M1,10,3,22203,6,7,20,991,1011,3442.96743994192,3490.38557065644,0.0137724598160347,0,0.515151515151515,0.925078043704475,0,0,1
addition_instances,M1,10,3,22203,8,9,20,991,1011,3442.96743994192,3490.38557065644,0.0137724598160347,0,0.691919191919192,0.94901144640999,0,0,1
addition_instances,M1,10,3,22203,12,13,20,991,1011,3442.96743994192,3490.38557065644,0.0137724598160347,0,0.84949494949495,0.963579604578564,0,0,1
addition_instances,M1,10,3,22203,Inf,18,20,991,1011,3442.96743994192,3490.38557065644,0.0137724598160347,0,0.948484848484848,0.964620187304891,0,0,1
addition_instances,M1,10,4,22204,0,1,20,991,1011,3442.96743994192,3490.38557065644,0.0137724598160347,0,0.0171717171717172,0.59729448491155,0,0,1
addition_instances,M1,10,4,22204,2,3,20,991,1011,3442.96743994192,3490.38557065644,0.0137724598160347,0,0.152525252525253,0.825182101977107,0,0,1
