level,instance,strategy,affected_count,affected_ratio,total_fe,fitness,gap_to_witness,distance,late,is_feasible
M1,1,WarmStart,1,0.0555555555555556,978,3489.9215042075,0,3489.9215042075,0,1
M1,1,AffectedPSO,1,0.0555555555555556,990,3489.9215042075,0,3489.9215042075,0,1
M1,1,AffectedPSO_Local,1,0.0555555555555556,1014,3489.9215042075,0,3489.9215042075,0,1
M1,2,WarmStart,1,0.0555555555555556,977,3490.60296697375,0,3490.60296697375,0,1
M1,2,AffectedPSO,1,0.0555555555555556,990,3490.60296697375,0,3490.60296697375,0,1
M1,2,AffectedPSO_Local,1,0.0555555555555556,1014,3490.60296697375,0,3490.60296697375,0,1
M2,1,WarmStart,2,0.105263157894737,980,3492.50282253429,0,3492.50282253429,0,1
M2,1,AffectedPSO,2,0.105263157894737,990,3492.50282253429,0,3492.50282253429,0,1
M2,1,AffectedPSO_Local,2,0.105263157894737,996,3492.50282253429,0,3492.50282253429,0,1
M2,2,WarmStart,2,0.105263157894737,980,3492.62686447826,0,3492.62686447826,0,1
M2,2,AffectedPSO,2,0.105263157894737,990,3492.62686447826,0,3492.62686447826,0,1
M2,2,AffectedPSO_Local,2,0.105263157894737,1103,3454.30709434065,-0.0109716186768598,3454.30709434065,0,1
M4,1,WarmStart,4,0.19047619047619,980,3543.53753500754,0.0145760670277074,3543.53753500754,0,1
M4,1,AffectedPSO,4,0.19047619047619,990,4913.19892318673,0.40673380506493,4913.19892318673,0,1
M4,1,AffectedPSO_Local,4,0.19047619047619,1059,4913.19892318673,0.40673380506493,4913.19892318673,0,1
M4,2,WarmStart,4,0.19047619047619,980,3581.55926878267,0.0246220162607487,3581.55926878267,0,1
M4,2,AffectedPSO,4,0.19047619047619,990,3495.49317889264,0,3495.49317889264,0,1
M4,2,AffectedPSO_Local,4,0.19047619047619,1028,3495.49317889264,0,3495.49317889264,0,1
