dataset,level,instance,scenario_seed,algorithm_seed,event_type,event_size,strategy,seed_index,checkpoint_fe,actual_fe,warm_start_fe,local_search_fe,local_budget,pso_improvement_per_fe,local_improvement_per_fe,response_time,fitness,distance,total_late,is_feasible,reference_cost,gap_to_reference,overtake_repair,first_feasible_fe,feasibility_mode_fe,quality_mode_fe,improvement_per_100_local_fe,mean_local_budget,mode
addition_instances,M1,9,6109,6819002,add,1,WarmPSO_FixedRelocate,2,1500,1482,77,625,25,NaN,NaN,0.3336665,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629,1,78,0,1075,0.186046511627907,25,WarmPSO_FixedRelocate
addition_instances,M1,9,6109,6819002,add,1,WarmPSO_FixedRelocate,2,2500,2472,77,1075,25,NaN,NaN,0.3336665,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629,1,78,0,1075,0.186046511627907,25,WarmPSO_FixedRelocate
addition_instances,M1,9,6109,6819002,add,1,AdaptiveMemeticPSO,2,500,492,77,175,25,0,0,0.3537202,3489.75337928123,3489.75337928123,0,1,3489.87731324602,-3.55124130936371e-05,1,78,0,1250,0.16,32.0512820512821,quality-relocate
addition_instances,M1,9,6109,6819002,add,1,AdaptiveMemeticPSO,2,1000,987,77,400,25,0,0,0.3537202,3489.75337928123,3489.75337928123,0,1,3489.87731324602,-3.55124130936371e-05,1,78,0,1250,0.16,32.0512820512821,quality-relocate
addition_instances,M1,9,6109,6819002,add,1,AdaptiveMemeticPSO,2,1500,1447,77,650,40,0,0,0.3537202,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629,1,78,0,1250,0.16,32.0512820512821,quality-relocate
addition_instances,M1,9,6109,6819002,add,1,AdaptiveMemeticPSO,2,2500,2500,77,1250,0,0,0,0.3537202,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629,1,78,0,1250,0.16,32.0512820512821,quality-relocate
addition_instances,M1,9,6109,6819003,add,1,Repair,3,500,19,0,0,0,NaN,NaN,0.0044296,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,NaN,0,0,NaN,0,repair
addition_instances,M1,9,6109,6819003,add,1,Repair,3,1000,19,0,0,0,NaN,NaN,0.0044296,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,NaN,0,0,NaN,0,repair
addition_instances,M1,9,6109,6819003,add,1,Repair,3,1500,19,0,0,0,NaN,NaN,0.0044296,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,NaN,0,0,NaN,0,repair
addition_instances,M1,9,6109,6819003,add,1,Repair,3,2500,19,0,0,0,NaN,NaN,0.0044296,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,NaN,0,0,NaN,0,repair
addition_instances,M1,9,6109,6819003,add,1,WarmPSO,3,500,497,77,0,25,NaN,NaN,0.2737202,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,78,0,0,0,25,WarmPSO
addition_instances,M1,9,6109,6819003,add,1,WarmPSO,3,1000,977,77,0,25,NaN,NaN,0.2737202,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,78,0,0,0,25,WarmPSO
addition_instances,M1,9,6109,6819003,add,1,WarmPSO,3,1500,1487,77,0,25,NaN,NaN,0.2737202,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,78,0,0,0,25,WarmPSO
addition_instances,M1,9,6109,6819003,add,1,WarmPSO,3,2500,2477,77,0,25,NaN,NaN,0.2737202,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,78,0,0,0,25,WarmPSO
addition_instances,M1,9,6109,6819003,add,1,WarmPSO_FixedRelocate,3,500,492,77,175,25,NaN,NaN,0.3137805,3489.75337928123,3489.75337928123,0,1,3489.87731324602,-3.55124130936371e-05,1,78,0,1075,0.186046511627907,25,WarmPSO_FixedRelocate
addition_instances,M1,9,6109,6819003,add,1,WarmPSO_FixedRelocate,3,1000,987,77,400,25,NaN,NaN,0.3137805,3489.75337928123,3489.75337928123,0,1,3489.87731324602,-3.55124130936371e-05,1,78,0,1075,0.186046511627907,25,WarmPSO_FixedRelocate
addition_instances,M1,9,6109,6819003,add,1,WarmPSO_FixedRelocate,3,1500,1482,77,625,25,NaN,NaN,0.3137805,3489.75337928123,3489.75337928123,0,1,3489.87731324602,-3.55124130936371e-05,1,78,0,1075,0.186046511627907,25,WarmPSO_FixedRelocate
addition_instances,M1,9,6109,6819003,add,1,WarmPSO_FixedRelocate,3,2500,2472,77,1075,25,NaN,NaN,0.3137805,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629,1,78,0,1075,0.186046511627907,25,WarmPSO_FixedRelocate
addition_instances,M1,9,6109,6819003,add,1,AdaptiveMemeticPSO,3,500,492,77,175,25,0,0,0.3258619,3489.75337928123,3489.75337928123,0,1,3489.87731324602,-3.55124130936371e-05,1,78,0,1180,0.169491525423729,28.780487804878,quality-relocate
addition_instances,M1,9,6109,6819003,add,1,AdaptiveMemeticPSO,3,1000,987,77,400,25,0,0,0.3258619,3489.75337928123,3489.75337928123,0,1,3489.87731324602,-3.55124130936371e-05,1,78,0,1180,0.169491525423729,28.780487804878,quality-relocate
addition_instances,M1,9,6109,6819003,add,1,AdaptiveMemeticPSO,3,1500,1482,77,625,25,0,0,0.3258619,3489.75337928123,3489.75337928123,0,1,3489.87731324602,-3.55124130936371e-05,1,78,0,1180,0.169491525423729,28.780487804878,quality-relocate
addition_instances,M1,9,6109,6819003,add,1,AdaptiveMemeticPSO,3,2500,2500,77,1180,0,0,0,0.3258619,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629,1,78,0,1180,0.169491525423729,28.780487804878,quality-relocate
addition_instances,M1,9,6109,6819004,add,1,Repair,4,500,19,0,0,0,NaN,NaN,0.0026038,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,NaN,0,0,NaN,0,repair
addition_instances,M1,9,6109,6819004,add,1,Repair,4,1000,19,0,0,0,NaN,NaN,0.0026038,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,NaN,0,0,NaN,0,repair
addition_instances,M1,9,6109,6819004,add,1,Repair,4,1500,19,0,0,0,NaN,NaN,0.0026038,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,NaN,0,0,NaN,0,repair
addition_instances,M1,9,6109,6819004,add,1,Repair,4,2500,19,0,0,0,NaN,NaN,0.0026038,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,NaN,0,0,NaN,0,repair
addition_instances,M1,9,6109,6819004,add,1,WarmPSO,4,500,496,76,0,25,NaN,NaN,0.2846446,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,77,0,0,0,25,WarmPSO
addition_instances,M1,9,6109,6819004,add,1,WarmPSO,4,1000,976,76,0,25,NaN,NaN,0.2846446,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,77,0,0,0,25,WarmPSO
addition_instances,M1,9,6109,6819004,add,1,WarmPSO,4,1500,1486,76,0,25,NaN,NaN,0.2846446,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,77,0,0,0,25,WarmPSO
addition_instances,M1,9,6109,6819004,add,1,WarmPSO,4,2500,2476,76,0,25,NaN,NaN,0.2846446,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,77,0,0,0,25,WarmPSO
addition_instances,M1,9,6109,6819004,add,1,WarmPSO_FixedRelocate,4,500,491,76,175,25,NaN,NaN,0.3114862,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,77,0,1075,0.186046511627907,25,WarmPSO_FixedRelocate
addition_instances,M1,9,6109,6819004,add,1,WarmPSO_FixedRelocate,4,1000,986,76,400,25,NaN,NaN,0.3114862,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,77,0,1075,0.186046511627907,25,WarmPSO_FixedRelocate
addition_instances,M1,9,6109,6819004,add,1,WarmPSO_FixedRelocate,4,1500,1481,76,625,25,NaN,NaN,0.3114862,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629,1,77,0,1075,0.186046511627907,25,WarmPSO_FixedRelocate
addition_instances,M1,9,6109,6819004,add,1,WarmPSO_FixedRelocate,4,2500,2471,76,1075,25,NaN,NaN,0.3114862,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629,1,77,0,1075,0.186046511627907,25,WarmPSO_FixedRelocate
addition_instances,M1,9,6109,6819004,add,1,AdaptiveMemeticPSO,4,500,491,76,175,25,0,0,0.3082652,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,77,0,1254,0.159489633173844,33,quality-relocate
addition_instances,M1,9,6109,6819004,add,1,AdaptiveMemeticPSO,4,1000,986,76,400,25,0,0,0.3082652,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,77,0,1254,0.159489633173844,33,quality-relocate
addition_instances,M1,9,6109,6819004,add,1,AdaptiveMemeticPSO,4,1500,1461,76,665,40,0,0,0.3082652,3442.4591825315,3442.4591825315,0,1,3489.87731324602,-0.0135873345846693,1,77,0,1254,0.159489633173844,33,quality-relocate
addition_instances,M1,9,6109,6819004,add,1,AdaptiveMemeticPSO,4,2500,2500,76,1254,29,0,0,0.3082652,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629,1,77,0,1254,0.159489633173844,33,quality-relocate
addition_instances,M1,9,6109,6819005,add,1,Repair,5,500,19,0,0,0,NaN,NaN,0.0053891,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,NaN,0,0,NaN,0,repair
addition_instances,M1,9,6109,6819005,add,1,Repair,5,1000,19,0,0,0,NaN,NaN,0.0053891,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,NaN,0,0,NaN,0,repair
addition_instances,M1,9,6109,6819005,add,1,Repair,5,1500,19,0,0,0,NaN,NaN,0.0053891,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,NaN,0,0,NaN,0,repair
addition_instances,M1,9,6109,6819005,add,1,Repair,5,2500,19,0,0,0,NaN,NaN,0.0053891,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,NaN,0,0,NaN,0,repair
addition_instances,M1,9,6109,6819005,add,1,WarmPSO,5,500,497,77,0,25,NaN,NaN,0.2759291,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,78,0,0,0,25,WarmPSO
addition_instances,M1,9,6109,6819005,add,1,WarmPSO,5,1000,977,77,0,25,NaN,NaN,0.2759291,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,78,0,0,0,25,WarmPSO
addition_instances,M1,9,6109,6819005,add,1,WarmPSO,5,1500,1487,77,0,25,NaN,NaN,0.2759291,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,78,0,0,0,25,WarmPSO
addition_instances,M1,9,6109,6819005,add,1,WarmPSO,5,2500,2477,77,0,25,NaN,NaN,0.2759291,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,78,0,0,0,25,WarmPSO
addition_instances,M1,9,6109,6819005,add,1,WarmPSO_FixedRelocate,5,500,492,77,175,25,NaN,NaN,0.3227764,3489.75337928123,3489.75337928123,0,1,3489.87731324602,-3.55124130936371e-05,1,78,0,1075,0.186046511627907,25,WarmPSO_FixedRelocate
