instance,route_index,route_source,feature,direction,spearman_rho,oracle_rank,normalized_rank,selected_gain,oracle_gain,gain_capture,selected_source_improves
rc_201.1,9,first-feasible,slack,max,-0.0892705433937607,12,0.611111111111111,0,14.3439,0,0
rc_201.1,9,first-feasible,slack,min,-0.0892705433937607,4,0.166666666666667,6.40160000000003,14.3439,0.446294243546039,1
rc_201.1,9,first-feasible,waiting,max,-0.130788702238097,12,0.611111111111111,0,14.3439,0,0
rc_201.1,9,first-feasible,waiting,min,-0.130788702238097,11,0.555555555555556,0,14.3439,0,0
rc_201.1,9,first-feasible,local_travel,max,-0.328607103509479,15,0.777777777777778,0,14.3439,0,0
rc_201.1,9,first-feasible,local_travel,min,-0.328607103509479,6,0.277777777777778,3.05999999999995,14.3439,0.21333110241984,1
rc_201.1,10,final-feasible,removal_saving,max,0.129099444873581,16,0.833333333333333,0,4.04679999999996,0,0
rc_201.1,10,final-feasible,removal_saving,min,0.129099444873581,7,0.333333333333333,0,4.04679999999996,0,0
rc_201.1,10,final-feasible,slack,max,-0.0431088443009553,3,0.111111111111111,0,4.04679999999996,0,0
rc_201.1,10,final-feasible,slack,min,-0.0431088443009553,14,0.722222222222222,0,4.04679999999996,0,0
rc_201.1,10,final-feasible,waiting,max,-0.101617355587133,3,0.111111111111111,0,4.04679999999996,0,0
rc_201.1,10,final-feasible,waiting,min,-0.101617355587133,2,0.0555555555555556,0,4.04679999999996,0,0
rc_201.1,10,final-feasible,local_travel,max,-0.387298334620742,4,0.166666666666667,0,4.04679999999996,0,0
rc_201.1,10,final-feasible,local_travel,min,-0.387298334620742,1,0,4.04679999999996,4.04679999999996,1,1
rc_201.1,11,first-feasible,removal_saving,max,0.376507404890518,1,0,61.6011999999999,61.6011999999999,1,1
rc_201.1,11,first-feasible,removal_saving,min,0.376507404890518,19,1,0,61.6011999999999,0,0
rc_201.1,11,first-feasible,slack,max,-0.00371595751287652,9,0.444444444444444,2.14430000000004,61.6011999999999,0.0348093868301274,1
rc_201.1,11,first-feasible,slack,min,-0.00371595751287652,5,0.222222222222222,5.88189999999997,61.6011999999999,0.095483529541632,1
rc_201.1,11,first-feasible,waiting,max,-0.113871646682388,10,0.5,0.925999999999931,61.6011999999999,0.0150321746978944,1
rc_201.1,11,first-feasible,waiting,min,-0.113871646682388,1,0,61.6011999999999,61.6011999999999,1,1
rc_201.1,11,first-feasible,local_travel,max,0.291190455999071,1,0,61.6011999999999,61.6011999999999,1,1
rc_201.1,11,first-feasible,local_travel,min,0.291190455999071,14,0.722222222222222,0,61.6011999999999,0,0
rc_201.1,13,first-feasible,removal_saving,max,0.726620219428568,7,0.333333333333333,7.00720000000001,25.8539,0.27103067622293,1
rc_201.1,13,first-feasible,removal_saving,min,0.726620219428568,18,0.944444444444444,0,25.8539,0,0
rc_201.1,13,first-feasible,slack,max,0.0405356387914766,13,0.666666666666667,0,25.8539,0,0
rc_201.1,13,first-feasible,slack,min,0.0405356387914766,6,0.277777777777778,9.9251999999999,25.8539,0.383895659842418,1
rc_201.1,13,first-feasible,waiting,max,-0.385078003529972,18,0.944444444444444,0,25.8539,0,0
rc_201.1,13,first-feasible,waiting,min,-0.385078003529972,7,0.333333333333333,7.00720000000001,25.8539,0.27103067622293,1
rc_201.1,13,first-feasible,local_travel,max,0.24940991422765,7,0.333333333333333,7.00720000000001,25.8539,0.27103067622293,1
rc_201.1,13,first-feasible,local_travel,min,0.24940991422765,10,0.5,5.92499999999995,25.8539,0.229172387918262,1
