dataset,level,instance,strategy,algorithm_seed,checkpoint_fe,actual_fe,cost,gap_to_witness_bks,is_feasible,warm_start_fe,response_time,bks_cost,gap_to_bks
addition_instances,M1,4,Repair,1000403,1500,19,3489.91923314473,0,1,0,0.0028808,3489.91923314473,0
addition_instances,M1,4,Repair,1000403,2500,19,3489.91923314473,0,1,0,0.0028808,3489.91923314473,0
addition_instances,M1,5,Restart,1000501,500,480,5819.25669159741,0.667399746864778,1,0,0.2112834,3490.01893669433,0.667399746864779
addition_instances,M1,5,Restart,1000501,1000,990,5591.16133120954,0.602043264700838,1,0,0.2112834,3490.01893669433,0.60204326470084
addition_instances,M1,5,Restart,1000501,1500,1500,5305.16046753019,0.520095037809486,1,0,0.2112834,3490.01893669433,0.520095037809486
addition_instances,M1,5,Restart,1000501,2500,2490,5214.80763669021,0.494206115004509,1,0,0.2112834,3490.01893669433,0.494206115004511
addition_instances,M1,5,WarmStart,1000502,500,496,3490.01893669433,0,1,76,0.2209062,3490.01893669433,0
addition_instances,M1,5,WarmStart,1000502,1000,976,3490.01893669433,0,1,76,0.2209062,3490.01893669433,0
addition_instances,M1,5,WarmStart,1000502,1500,1486,3490.01893669433,0,1,76,0.2209062,3490.01893669433,0
addition_instances,M1,5,WarmStart,1000502,2500,2476,3490.01893669433,0,1,76,0.2209062,3490.01893669433,0
addition_instances,M1,5,Repair,1000503,500,19,3490.01893669433,0,1,0,0.004123,3490.01893669433,0
addition_instances,M1,5,Repair,1000503,1000,19,3490.01893669433,0,1,0,0.004123,3490.01893669433,0
addition_instances,M1,5,Repair,1000503,1500,19,3490.01893669433,0,1,0,0.004123,3490.01893669433,0
addition_instances,M1,5,Repair,1000503,2500,19,3490.01893669433,0,1,0,0.004123,3490.01893669433,0
addition_instances,M1,6,Restart,1000601,500,480,4516.06080369612,0.29389681541502,1,0,0.2077223,3490.27893870161,0.293896815415017
addition_instances,M1,6,Restart,1000601,1000,990,3964.68707118248,0.135922698676156,1,0,0.2077223,3490.27893870161,0.135922698676155
addition_instances,M1,6,Restart,1000601,1500,1500,3726.17707965186,0.0675871886153644,1,0,0.2077223,3490.27893870161,0.0675871886153616
addition_instances,M1,6,Restart,1000601,2500,2490,3726.17707965186,0.0675871886153644,1,0,0.2077223,3490.27893870161,0.0675871886153616
addition_instances,M1,6,WarmStart,1000602,500,495,3490.27893870161,0,1,75,0.2050354,3490.27893870161,0
addition_instances,M1,6,WarmStart,1000602,1000,975,3490.27893870161,0,1,75,0.2050354,3490.27893870161,0
addition_instances,M1,6,WarmStart,1000602,1500,1485,3490.27893870161,0,1,75,0.2050354,3490.27893870161,0
addition_instances,M1,6,WarmStart,1000602,2500,2475,3490.27893870161,0,1,75,0.2050354,3490.27893870161,0
addition_instances,M1,6,Repair,1000603,500,19,3490.27893870161,0,1,0,0.0016482,3490.27893870161,0
addition_instances,M1,6,Repair,1000603,1000,19,3490.27893870161,0,1,0,0.0016482,3490.27893870161,0
addition_instances,M1,6,Repair,1000603,1500,19,3490.27893870161,0,1,0,0.0016482,3490.27893870161,0
addition_instances,M1,6,Repair,1000603,2500,19,3490.27893870161,0,1,0,0.0016482,3490.27893870161,0
addition_instances,M1,7,Restart,1000701,500,480,5486.43872577097,0.571577493802385,1,0,0.2108388,3491.03925667496,0.571577493802384
addition_instances,M1,7,Restart,1000701,1000,990,5301.9940628408,0.518743753082481,1,0,0.2108388,3491.03925667496,0.51874375308248
addition_instances,M1,7,Restart,1000701,1500,1500,4667.44280124255,0.33697803378128,1,0,0.2108388,3491.03925667496,0.33697803378128
