dataset,level,instance,strategy,budget,gap_to_bks,insertion_ratio,mean_detour_ratio,max_detour_ratio,min_slack,critical_count,n_add
addition_instances,M1,7,Restart,1000,0.484849197123874,0.000332946784268503,1,1,80,0,1
addition_instances,M1,7,Restart,1500,0.294302912603987,0.000332946784268503,1,1,80,0,1
addition_instances,M1,7,Restart,2500,0.575654532236301,0.000332946784268503,1,1,80,0,1
addition_instances,M1,7,WarmStart,500,0,0.000332946784268503,1,1,80,0,1
addition_instances,M1,7,WarmStart,1000,0,0.000332946784268503,1,1,80,0,1
addition_instances,M1,7,WarmStart,1500,0,0.000332946784268503,1,1,80,0,1
addition_instances,M1,7,WarmStart,2500,0,0.000332946784268503,1,1,80,0,1
addition_instances,M1,7,Repair,500,0,0.000332946784268503,1,1,80,0,1
addition_instances,M1,7,Repair,1000,0,0.000332946784268503,1,1,80,0,1
addition_instances,M1,7,Repair,1500,0,0.000332946784268503,1,1,80,0,1
addition_instances,M1,7,Repair,2500,0,0.000332946784268503,1,1,80,0,1
addition_instances,M1,8,Restart,500,0.780619504918022,0.000509134393538508,1,1,80,0,1
addition_instances,M1,8,Restart,1000,0.207765855117743,0.000509134393538508,1,1,80,0,1
addition_instances,M1,8,Restart,1500,0.391468990654638,0.000509134393538508,1,1,80,0,1
addition_instances,M1,8,Restart,2500,0.372177491433018,0.000509134393538508,1,1,80,0,1
addition_instances,M1,8,WarmStart,500,0,0.000509134393538508,1,1,80,0,1
addition_instances,M1,8,WarmStart,1000,0,0.000509134393538508,1,1,80,0,1
addition_instances,M1,8,WarmStart,1500,0,0.000509134393538508,1,1,80,0,1
addition_instances,M1,8,WarmStart,2500,0,0.000509134393538508,1,1,80,0,1
addition_instances,M1,8,Repair,500,0,0.000509134393538508,1,1,80,0,1
addition_instances,M1,8,Repair,1000,0,0.000509134393538508,1,1,80,0,1
addition_instances,M1,8,Repair,1500,0,0.000509134393538508,1,1,80,0,1
addition_instances,M1,8,Repair,2500,0,0.000509134393538508,1,1,80,0,1
addition_instances,M1,9,Restart,500,0.507834454414778,0,0,0,80,0,1
addition_instances,M1,9,Restart,1000,0.38636078363785,0,0,0,80,0,1
addition_instances,M1,9,Restart,1500,0.522181149766024,0,0,0,80,0,1
addition_instances,M1,9,Restart,2500,0.502892622672513,0,0,0,80,0,1
addition_instances,M1,9,WarmStart,500,0.073430155799529,0,0,0,80,0,1
addition_instances,M1,9,WarmStart,1000,0.073430155799529,0,0,0,80,0,1
addition_instances,M1,9,WarmStart,1500,0.073430155799529,0,0,0,80,0,1
addition_instances,M1,9,WarmStart,2500,0.073430155799529,0,0,0,80,0,1
addition_instances,M1,9,Repair,500,0.073430155799529,0,0,0,80,0,1
addition_instances,M1,9,Repair,1000,0.073430155799529,0,0,0,80,0,1
addition_instances,M1,9,Repair,1500,0.073430155799529,0,0,0,80,0,1
addition_instances,M1,9,Repair,2500,0.073430155799529,0,0,0,80,0,1
addition_instances,M1,10,Restart,500,0.755440151756796,0.000145637615536684,1,1,80,0,1
addition_instances,M1,10,Restart,1000,0.608103115615014,0.000145637615536684,1,1,80,0,1
addition_instances,M1,10,Restart,1500,0.0869356296072813,0.000145637615536684,1,1,80,0,1
addition_instances,M1,10,Restart,2500,0.351570737535092,0.000145637615536684,1,1,80,0,1
addition_instances,M1,10,WarmStart,500,0.0137724598160359,0.000145637615536684,1,1,80,0,1
addition_instances,M1,10,WarmStart,1000,0.0137724598160359,0.000145637615536684,1,1,80,0,1
addition_instances,M1,10,WarmStart,1500,0.0137724598160359,0.000145637615536684,1,1,80,0,1
addition_instances,M1,10,WarmStart,2500,0,0.000145637615536684,1,1,80,0,1
addition_instances,M1,10,Repair,500,0.0137724598160359,0.000145637615536684,1,1,80,0,1
addition_instances,M1,10,Repair,1000,0.0137724598160359,0.000145637615536684,1,1,80,0,1
addition_instances,M1,10,Repair,1500,0.0137724598160359,0.000145637615536684,1,1,80,0,1
addition_instances,M1,10,Repair,2500,0.0137724598160359,0.000145637615536684,1,1,80,0,1
