dataset,level,instance,region,region_count,region_ratio,actual_fe,fitness,gap_to_witness,is_feasible,direct_repair_cost,affected_v2_count
addition_instances,M4,1,NewOnly,4,0.19047619047619,990,5051.27629860373,0.446267745121188,1,3492.62874432733,9
addition_instances,M4,1,AffectedV2,9,0.428571428571429,990,5161.80244268941,0.477913291263241,1,3492.62874432733,9
addition_instances,M4,1,Expanded,19,0.904761904761905,990,8162.47044638108,1.33705642480279,1,3492.62874432733,9
addition_instances,M4,1,Full,21,1,990,7286.30290234982,1.08619450727024,1,3492.62874432733,9
addition_instances,M4,2,NewOnly,4,0.19047619047619,990,3495.49317889264,0,1,3495.49317889264,11
addition_instances,M4,2,AffectedV2,11,0.523809523809524,990,4221.48349598472,0.207693243824916,1,3495.49317889264,11
addition_instances,M4,2,Expanded,20,0.952380952380952,990,5703.92463736331,0.631793954514395,1,3495.49317889264,11
addition_instances,M4,2,Full,21,1,990,7000.831815484,1.00281661476503,1,3495.49317889264,11
addition_stress_instances,Near,2,NewOnly,2,0.105263157894737,990,4443.97965136658,-0.175414235500226,1,4746.79702247549,6
addition_stress_instances,Near,2,AffectedV2,6,0.315789473684211,990,4486.54856435253,-0.167515522541976,1,4746.79702247549,6
addition_stress_instances,Near,2,Expanded,13,0.684210526315789,990,5253.66597198364,-0.0251759657354843,1,4746.79702247549,6
addition_stress_instances,Near,2,Full,19,1,990,6784.65847618057,0.258901533163151,0,4746.79702247549,6
addition_stress_instances,Near,5,NewOnly,2,0.105263157894737,990,3659.26861720757,-0.121809169033253,1,3659.26861720757,16
addition_stress_instances,Near,5,AffectedV2,16,0.842105263157895,990,5605.22317759608,0.34520203762564,1,3659.26861720757,16
addition_stress_instances,Near,5,Expanded,18,0.947368421052632,990,6018.5834962245,0.444404714356703,1,3659.26861720757,16
addition_stress_instances,Near,5,Full,19,1,990,6025.12324457955,0.445974193846465,1,3659.26861720757,16
addition_stress_instances,Tight,1,NewOnly,2,0.105263157894737,990,4282.33743278659,-0.185922769082103,1,4293.90625809938,7
addition_stress_instances,Tight,1,AffectedV2,7,0.368421052631579,990,5093.04142433805,-0.0318070155024416,1,4293.90625809938,7
addition_stress_instances,Tight,1,Expanded,14,0.736842105263158,990,6061.53074553446,0.152303909231503,1,4293.90625809938,7
addition_stress_instances,Tight,1,Full,19,1,990,5787.11077352352,0.100136359516051,1,4293.90625809938,7
addition_stress_instances,Tight,4,NewOnly,2,0.105263157894737,990,3780.39012615327,-0.334809841698985,1,3780.39012615327,16
addition_stress_instances,Tight,4,AffectedV2,16,0.842105263157895,990,4677.17978974684,-0.177012461433493,1,3780.39012615327,16
addition_stress_instances,Tight,4,Expanded,18,0.947368421052632,990,6355.42065642485,0.118287565949849,1,3780.39012615327,16
addition_stress_instances,Tight,4,Full,19,1,990,6244.66527199754,0.0987992620337523,1,3780.39012615327,16
addition_stress_instances,Far,3,NewOnly,2,0.105263157894737,990,4137.06127770897,-0.0533508986573199,1,4137.06127770897,4
addition_stress_instances,Far,3,AffectedV2,4,0.210526315789474,990,4665.20473949589,0.0674997486788648,1,4137.06127770897,4
addition_stress_instances,Far,3,Expanded,6,0.315789473684211,990,4243.20858969171,-0.0290620978025158,1,4137.06127770897,4
addition_stress_instances,Far,3,Full,19,1,990,6025.53062724071,0.378771734449391,1,4137.06127770897,4
addition_stress_instances,Far,5,NewOnly,2,0.105263157894737,990,4031.37481224937,-0.318483512702097,1,4031.37481224937,6
addition_stress_instances,Far,5,AffectedV2,6,0.315789473684211,990,4912.03660970953,-0.169604888745119,1,4031.37481224937,6
addition_stress_instances,Far,5,Expanded,9,0.473684210526316,990,5135.80051885479,-0.131776901905158,1,4031.37481224937,6
addition_stress_instances,Far,5,Full,19,1,990,5985.24448496772,0.0118242502830893,1,4031.37481224937,6
