dataset,level,instance,checkpoint_fe,n_add,insertion_ratio,slack_loss,min_slack_after,critical_count,mean_detour_ratio,repair_gap,warm_gap,restart_gap,repair_feasible,warm_feasible,restart_feasible,warm_gain_vs_repair,restart_gain_vs_warm,best_strategy
addition_instances,M1,10,500,1,0.000145637615536684,4.63960679239476,80,0,1,0.0137724598160359,0.0137724598160359,0.623422881162738,1,1,1,0,-0.609650421346702,Repair
addition_instances,M1,10,1000,1,0.000145637615536684,4.63960679239476,80,0,1,0.0137724598160359,0.0137724598160359,0.504490727433464,1,1,1,0,-0.490718267617428,Repair
addition_instances,M1,10,1500,1,0.000145637615536684,4.63960679239476,80,0,1,0.0137724598160359,0.0137724598160359,0.453448413930498,1,1,1,0,-0.439675954114462,Repair
addition_instances,M1,10,2500,1,0.000145637615536684,4.63960679239476,80,0,1,0.0137724598160359,0.0137724598160359,0.421336003181558,1,1,1,0,-0.407563543365522,Repair
addition_instances,M2,1,500,2,0.000752321371960284,3.78413583476217,80,0,1,0,0,0.808209207200381,1,1,1,0,-0.808209207200381,Repair
addition_instances,M2,1,1000,2,0.000752321371960284,3.78413583476217,80,0,1,0,0,0.796927417207639,1,1,1,0,-0.796927417207639,Repair
addition_instances,M2,1,1500,2,0.000752321371960284,3.78413583476217,80,0,1,0,0,0.599628196275455,1,1,1,0,-0.599628196275455,Repair
addition_instances,M2,1,2500,2,0.000752321371960284,3.78413583476217,80,0,1,0,0,0.358642565577767,1,1,1,0,-0.358642565577767,Repair
addition_instances,M2,2,500,2,0.000787864725733693,2.15543176894067,80,0,1,0,0,0.590174509241157,1,1,1,0,-0.590174509241157,Repair
addition_instances,M2,2,1000,2,0.000787864725733693,2.15543176894067,80,0,1,0,0,0.458871243719707,1,1,1,0,-0.458871243719707,Repair
addition_instances,M2,2,1500,2,0.000787864725733693,2.15543176894067,80,0,1,0,0,0.350133812084718,1,1,1,0,-0.350133812084718,Repair
addition_instances,M2,2,2500,2,0.000787864725733693,2.15543176894067,80,0,1,0,0,0.198147293750145,1,1,1,0,-0.198147293750145,Repair
addition_instances,M2,3,500,2,0.00022118464176093,12.422610908643,80,0,0.5,0,0,0.661606004443336,1,1,1,0,-0.661606004443336,Repair
addition_instances,M2,3,1000,2,0.00022118464176093,12.422610908643,80,0,0.5,0,0,0.47913484200402,1,1,1,0,-0.47913484200402,Repair
addition_instances,M2,3,1500,2,0.00022118464176093,12.422610908643,80,0,0.5,0,0,0.36463579721265,1,1,1,0,-0.36463579721265,Repair
addition_instances,M2,3,2500,2,0.00022118464176093,12.422610908643,80,0,0.5,0,0,0.36463579721265,1,1,1,0,-0.36463579721265,Repair
addition_instances,M2,4,500,2,0.00130217045771116,3.2629369824508,80,0,1,0,0,0.909712136972994,1,1,1,0,-0.909712136972994,Repair
addition_instances,M2,4,1000,2,0.00130217045771116,3.2629369824508,80,0,1,0,0,0.849427908858892,1,1,1,0,-0.849427908858892,Repair
addition_instances,M2,4,1500,2,0.00130217045771116,3.2629369824508,80,0,1,0,0,0.67922411078733,1,1,1,0,-0.67922411078733,Repair
addition_instances,M2,4,2500,2,0.00130217045771116,3.2629369824508,80,0,1,0,0,0.320778017440397,1,1,1,0,-0.320778017440397,Repair
addition_instances,M2,5,500,2,0.000819733531631232,9.2622061410331,80,0,1,0,0,0.756654630451625,1,1,1,0,-0.756654630451625,Repair
addition_instances,M2,5,1000,2,0.000819733531631232,9.2622061410331,80,0,1,0,0,0.748870909622926,1,1,1,0,-0.748870909622926,Repair
addition_instances,M2,5,1500,2,0.000819733531631232,9.2622061410331,80,0,1,0,0,0.671379444647376,1,1,1,0,-0.671379444647376,Repair
addition_instances,M2,5,2500,2,0.000819733531631232,9.2622061410331,80,0,1,0,0,0.64633612375598,1,1,1,0,-0.64633612375598,Repair
addition_instances,M2,6,500,2,0.000359148455361109,9.47751854206711,80,0,1,0,0,0.537058524413816,1,1,1,0,-0.537058524413816,Repair
addition_instances,M2,6,1000,2,0.000359148455361109,9.47751854206711,80,0,1,0,0,0.367534841120612,1,1,1,0,-0.367534841120612,Repair
addition_instances,M2,6,1500,2,0.000359148455361109,9.47751854206711,80,0,1,0,0,0.282630798843338,1,1,1,0,-0.282630798843338,Repair
addition_instances,M2,6,2500,2,0.000359148455361109,9.47751854206711,80,0,1,0,0,0.26523156402665,1,1,1,0,-0.26523156402665,Repair
addition_instances,M2,7,500,2,0.000351550177096208,4.14658087381995,80,0,1,0,0,0.699280961946159,1,1,1,0,-0.699280961946159,Repair
addition_instances,M2,7,1000,2,0.000351550177096208,4.14658087381995,80,0,1,0,0,0.633741037628322,1,1,1,0,-0.633741037628322,Repair
addition_instances,M2,7,1500,2,0.000351550177096208,4.14658087381995,80,0,1,0,0,0.591562519805299,1,1,1,0,-0.591562519805299,Repair
addition_instances,M2,7,2500,2,0.000351550177096208,4.14658087381995,80,0,1,0,0,0.534180835715511,1,1,1,0,-0.534180835715511,Repair
addition_instances,M2,8,500,2,0.000352435270465089,3.32615074038853,80,0,1,0,0,0.438393393938693,1,1,1,0,-0.438393393938693,Repair
addition_instances,M2,8,1000,2,0.000352435270465089,3.32615074038853,80,0,1,0,0,0.326272268161056,1,1,1,0,-0.326272268161056,Repair
addition_instances,M2,8,1500,2,0.000352435270465089,3.32615074038853,80,0,1,0,0,0.295967978729721,1,1,1,0,-0.295967978729721,Repair
addition_instances,M2,8,2500,2,0.000352435270465089,3.32615074038853,80,0,1,0,0,0.23023276032215,1,1,1,0,-0.23023276032215,Repair
addition_instances,M2,9,500,2,0.000202816044339349,19.267111561452,80,0,0.5,0.000979156425000588,0.000979156425000588,0.655375093162506,1,1,1,0,-0.654395936737505,Repair
addition_instances,M2,9,1000,2,0.000202816044339349,19.267111561452,80,0,0.5,0.000979156425000588,0.000979156425000588,0.403637481829269,1,1,1,0,-0.402658325404268,Repair
addition_instances,M2,9,1500,2,0.000202816044339349,19.267111561452,80,0,0.5,0.000979156425000588,0.000979156425000588,0.206382366044586,1,1,1,0,-0.205403209619585,Repair
addition_instances,M2,9,2500,2,0.000202816044339349,19.267111561452,80,0,0.5,0.000979156425000588,0.000979156425000588,0.0938389925862603,1,1,1,0,-0.0928598361612597,Repair
addition_instances,M2,10,500,2,0.000414006954072155,11.3449501488044,80,0,1,0,0,0.632857943393569,1,1,0,0,-0.632857943393569,Repair
